Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
458866,bash_za,Jet MAERUA MALL WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/jet-maerua-mall-windhoek-10020/458866,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
022119,bash_za,Fabiani WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/fabiani-wernhil-park-10020/022119,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Fabiani,Q116379050
022478,bash_za,Relay Jeans WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/relay-jeans-wernhil-park-10020/022478,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Relay Jeans,Q116378360
000424,bash_za,The FIX WERNHIL PARK WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/the-fix-wernhil-park-windhoek-10020/000424,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
020707,bash_za,MARKHAM MAERUA MALL,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/markham-maerua-mall-10020/020707,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
010941,bash_za,American Swiss WERNHIL PARK WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-wernhil-park-windhoek-namibia-10020/010941,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
026286,bash_za,Markham WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/markham-walvis-bay-dunes-mall-10020/026286,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
011210,bash_za,American Swiss MAERUA MALL WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-maerua-mall-windhoek-namibia-10020/011210,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
004745,bash_za,Foschini WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/foschini-walvis-bay-dunes-mall-10020/004745,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
000705,bash_za,Foschini WINDHOEK GROVE WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/foschini-windhoek-grove-windhoek-10020/000705,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
020712,bash_za,MARKHAM THE GROVE NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/markham-the-grove-namibia-10020/020712,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Markham,Q116378583
010111,bash_za,American Swiss WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-windhoek-namibia-10020/010111,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
011312,bash_za,American Swiss WINDHOEK THE GROVE WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-windhoek-the-grove-windhoek-namibia-10020/011312,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
035328,bash_za,Exact WALVIS BAY DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/exact-walvis-bay-dunes-mall-10020/035328,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Exact,Q116379381
457711,bash_za,Jet KATATURA  WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/jet-katatura--windhoek-10020/457711,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
015365,bash_za,Sterns WINDHOEK THE GROVE NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sterns-windhoek-the-grove-namibia-10020/015365,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
330239,bash_za,@home livingspace WINDHOEK GROVE WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/@home-livingspace-windhoek-grove-windhoek-10020/330239,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home Livingspace,Q117406343
000802,bash_za,THE FIX WALDUN DUNES MALL,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/the-fix-waldun-dunes-mall-10020/000802,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,The FIX,Q116379523
000423,bash_za,Foschini WERNHIL PARK WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/foschini-wernhil-park-windhoek-10020/000423,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Foschini,Q116391780
060923,bash_za,Sportscene WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sportscene-windhoek-10020/060923,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sportscene,Q116378841
330053,bash_za,@home MAERUA MALL WINDHOEK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/@home-maerua-mall-windhoek-10020/330053,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
458393,bash_za,Jet WINDHOEK INDEPENDENCE AVE,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/jet-windhoek-independence-ave-10020/458393,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Jet,Q61995123
010935,bash_za,American Swiss WALVIS BAY NAMIBIA,,WALVIS BAY,NAMIBIA,,ZA,,https://bash.com/store/american-swiss-walvis-bay-namibia-10020/010935,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,American Swiss,Q116430764
332747,bash_za,@home WERNHIL PARK,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/@home-wernhil-park-10020/332747,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,@Home,Q116429887
015298,bash_za,Sterns WERNHIL PARK WINDHOEK NAMIBIA,,WINDHOEK,NAMIBIA,,ZA,,https://bash.com/store/sterns-wernhil-park-windhoek-namibia-10020/015298,Mo 09:00-15:00; Tu-Sa 09:00-18:00; Su 09:00-17:00,Sterns,Q116430300
