Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68266514,moneygram,NIB - TAMERAT AGAT BLDG.,,ADDIS ABABA,,,ET,118963634,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688311,moneygram,NIB INTERNATIONAL BANK - BONOSHA,,BONOSHA,,,ET,464530830,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688298,moneygram,NIB INTERNATIONAL BANK - GERJI MEBRAT HA,,ADDIS ABABA,,,ET,116676149,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688463,moneygram,NIB INTERNATIONAL BANK - GULELE,,ADDIS ABABA,,,ET,113836089,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688340,moneygram,NIB INTERNATIONAL BANK - HOSSANA ARADA,,HOSSANA,,,ET,461782463,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688405,moneygram,NIB INTERNATIONAL BANK - JACROS YERER,,ADDIS ABABA,,,ET,+251 11 667 0292,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688421,moneygram,NIB INTERNATIONAL BANK - KARAMARA,,ADDIS ABABA,,,ET,116354446,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688324,moneygram,NIB INTERNATIONAL BANK - KOLFE FETINO DE,,ADDIS ABABA,,,ET,113836089,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688308,moneygram,NIB INTERNATIONAL BANK - LALIBELA,,LALIBELA,,,ET,+251 33 336 1428,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72688366,moneygram,NIB INTERNATIONAL BANK - ZIQUALA BISHOFT,,BISHOFTU,,,ET,114308189,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
68923420,moneygram,NIB INTERNATIONAL BANK - SEFERE SELAM,,ADDIS ABABA,,,ET,+251 11 277 9251,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69212583,moneygram,NIB INTERNATIONAL BANK  - Gambela Town,,GAMBELA,,,ET,+251 47 551 0791,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69212596,moneygram,NIB INTERNATIONAL BANK  - Saris,,ADDIS ABABA,,,ET,+251 91 154 7774,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69213359,moneygram,NIB INTERNATIONAL BANK  - Gonder Maraki,,GONDER,,,ET,582115044,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69581997,moneygram,NIB INTERNATIONAL BANK - AYER TENA,,ADDIS ABABA,,,ET,+251 11 550 3288,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69581984,moneygram,NIB INTERNATIONAL BANK - YEJOKA,,WELKITIE,,,ET,118868969,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69582006,moneygram,NIB INTERNATIONAL BANK - ASKO,,ADDIS ABABA,,,ET,+251 11 550 3288,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69583018,moneygram,NIB INTERNATIONAL BANK - GOTERA IBEX,,ADDIS ABABA,,,ET,+251 11 550 3288,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69583021,moneygram,NIB INTERNATIONAL BANK - SUMMIT,,ADDIS ABABA,,,ET,+251 11 550 3288,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69583539,moneygram,NIB INTERNATIONAL BANK - ZEBIDER,,BUTAJIRA,,,ET,461150543,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69583555,moneygram,NIB INTERNATIONAL BANK - SALOGORA,,ADDIS ABABA,,,ET,+251 11 550 3288,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69711068,moneygram,NIB INTERNATIONAL BANK - MODJO BRANCH,,MODJO,,,ET,222360013,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
69711084,moneygram,NIB INTERNATIONAL BANK - BATU BRANCH,,BATU,,,ET,+251 46 441 2389,,Mo-Sa 08:00-17:00; Su 00:00-24:00,MoneyGram,Q1944412
74448818,moneygram,NIB INTERNATIONAL BANK - ABAKORAN,,ADDIS ABABA,,,ET,+251 11 126 6040,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448821,moneygram,NIB INTERNATIONAL BANK - ABDI NONO,,OROMIA,,,ET,112320026,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448834,moneygram,NIB INTERNATIONAL BANK - ADAMA BOSET,,OROMIA,,,ET,222120948,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448847,moneygram,NIB INTERNATIONAL BANK - ADEWA BRIDGE,,ADDIS ABABA,,,ET,115579678,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448850,moneygram,NIB INTERNATIONAL BANK - ADOLA WOYU,,SNNPRS,,,ET,+251 46 335 1641,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448863,moneygram,NIB INTERNATIONAL BANK - AGARO,,OROMIA,,,ET,+251 47 221 5026,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448876,moneygram,NIB INTERNATIONAL BANK - ALEM BANK TROPI,,ADDIS ABABA,,,ET,113694420,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448889,moneygram,NIB INTERNATIONAL BANK - ALEM GENA,,ADDIS ABABA,,,ET,+251 11 387 0553,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448892,moneygram,NIB INTERNATIONAL BANK - ALEMBANK,,ADDIS ABABA,,,ET,113694525,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448902,moneygram,NIB INTERNATIONAL BANK - ATSE ZERAYAKOB,,AMHARA,,,ET,116376156,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448915,moneygram,NIB INTERNATIONAL BANK - AYAT 49 MAZORIA,,ADDIS ABABA,,,ET,+251 11 639 1333,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448928,moneygram,NIB INTERNATIONAL BANK - AYATTAFO,,ADDIS ABABA,,,ET,+251 11 639 1785,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448931,moneygram,NIB INTERNATIONAL BANK - BAHIR DAR ADET,,AMHARA,,,ET,583206389,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448944,moneygram,NIB INTERNATIONAL BANK - BAHIR DAR TANA,,AMHARA,,,ET,583209268,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448957,moneygram,NIB INTERNATIONAL BANK - BEDELE,,OROMIA,,,ET,+251 47 445 2568,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448960,moneygram,NIB INTERNATIONAL BANK - BEDESSA,,OROMIA,,,ET,255551137,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448973,moneygram,NIB INTERNATIONAL BANK - BELE,,SNNPRS,,,ET,464500524,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448986,moneygram,NIB INTERNATIONAL BANK - BICHENA,,AMHARA,,,ET,+251 58 665 1247,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74448999,moneygram,NIB INTERNATIONAL BANK - BIRBIR,,SNNPRS,,,ET,464520331,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449008,moneygram,NIB INTERNATIONAL BANK - BISHISHE,,OROMIA,,,ET,472114322,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449011,moneygram,NIB INTERNATIONAL BANK - BOLE ENIREDADA,,ADDIS ABABA,,,ET,+251 11 662 5347,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449024,moneygram,NIB INTERNATIONAL BANK - BOLE JAEFER MES,,ADDIS ABABA,,,ET,+251 11 639 2731,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449037,moneygram,NIB INTERNATIONAL BANK - BOLE RWANDA,,ADDIS ABABA,,,ET,116146799,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449040,moneygram,NIB INTERNATIONAL BANK - BOMBE,,SNNPRS,,,ET,465521808,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449053,moneygram,NIB INTERNATIONAL BANK - BORE,,OROMIA,,,ET,466670725,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449066,moneygram,NIB INTERNATIONAL BANK - BURAYU,,OROMIA,,,ET,112625173,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449079,moneygram,NIB INTERNATIONAL BANK - CHELALO,,OROMIA,,,ET,222380768,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449082,moneygram,NIB INTERNATIONAL BANK - CHIRO,,OROMIA,,,ET,256597599,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449095,moneygram,NIB INTERNATIONAL BANK - DALOCHA,,SNNPRS,,,ET,464660566,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449105,moneygram,NIB INTERNATIONAL BANK - DAYE,,SIDAMA,,,ET,463370848,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449118,moneygram,NIB INTERNATIONAL BANK - DEBRE BIRHAN,,AMHARA,,,ET,+251 11 681 2701,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449121,moneygram,NIB INTERNATIONAL BANK - DEBRE MARKOS GE,,AMHARA,,,ET,581788521,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449134,moneygram,NIB INTERNATIONAL BANK - DEBRE TABOR,,AMHARA,,,ET,581415572,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449147,moneygram,NIB INTERNATIONAL BANK - DIGELU,,OROMIA,,,ET,+251 11 550 4349,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449150,moneygram,NIB INTERNATIONAL BANK - DILLA EDGET,,SNNPRS,,,ET,+251 46 331 0113,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449163,moneygram,NIB INTERNATIONAL BANK - DIMMA,,GAMBELLA,,,ET,473320892,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449176,moneygram,NIB INTERNATIONAL BANK - DODOLA,,OROMIA,,,ET,222401301,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449189,moneygram,NIB INTERNATIONAL BANK - DUKEM EASTERN I,,OROMIA,,,ET,114628275,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449192,moneygram,NIB INTERNATIONAL BANK - ENDEGAGN,,SNNPRS,,,ET,113500658,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449202,moneygram,NIB INTERNATIONAL BANK - ETAYA,,OROMIA,,,ET,+251 22 335 0932,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449215,moneygram,NIB INTERNATIONAL BANK - FICHE,,OROMIA,,,ET,111609992,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449228,moneygram,NIB INTERNATIONAL BANK - FLAMINGO,,ADDIS ABABA,,,ET,115579326,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449231,moneygram,NIB INTERNATIONAL BANK - FURI ADEBABAY,,OROMIA,,,ET,113802175,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449244,moneygram,NIB INTERNATIONAL BANK - GEDEB,,SNNPRS,,,ET,462680531,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449257,moneygram,NIB INTERNATIONAL BANK - GELAN CONDOMINI,,ADDIS ABABA,,,ET,114550179,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449260,moneygram,NIB INTERNATIONAL BANK - GELEMSO,,OROMIA,,,ET,255522066,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449273,moneygram,NIB INTERNATIONAL BANK - GESUBA,,SNNPRS,,,ET,464690646,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449286,moneygram,NIB INTERNATIONAL BANK - GIRAR,,ADDIS ABABA,,,ET,113693888,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449299,moneygram,NIB INTERNATIONAL BANK - GOFA MAZORIA,,ADDIS ABABA,,,ET,+251 11 416 0061,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449309,moneygram,NIB INTERNATIONAL BANK - GOLLA,,ADDIS ABABA,,,ET,115336187,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449312,moneygram,NIB INTERNATIONAL BANK - HAIK,,AMHARA,,,ET,+251 33 222 1303,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449325,moneygram,NIB INTERNATIONAL BANK - HARUFA,,OROMIA,,,ET,462112509,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449338,moneygram,NIB INTERNATIONAL BANK - HIRNA,,OROMIA,,,ET,+251 25 441 2147,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449341,moneygram,NIB INTERNATIONAL BANK - HUMBO,,SNNPRS,,,ET,115584727,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449354,moneygram,NIB INTERNATIONAL BANK - INJIBARA,,AMHARA,,,ET,+251 58 227 1669,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449367,moneygram,NIB INTERNATIONAL BANK - KALITY MENAHARI,,ADDIS ABABA,,,ET,114716405,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449370,moneygram,NIB INTERNATIONAL BANK - KARA ALLO,,ADDIS ABABA,,,ET,116681909,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449383,moneygram,NIB INTERNATIONAL BANK - KARE,,SNNPRS,,,ET,461456646,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449396,moneygram,NIB INTERNATIONAL BANK - KOLFE ATENA TER,,ADDIS ABABA,,,ET,112739280,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449406,moneygram,NIB INTERNATIONAL BANK - MEKANISA KORE,,ADDIS ABABA,,,ET,113854116,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449419,moneygram,NIB INTERNATIONAL BANK - MEKANISSA,,ADDIS ABABA,,,ET,113699618,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449422,moneygram,NIB INTERNATIONAL BANK - MELKA GEFERSSA,,OROMIA,,,ET,118134194,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449435,moneygram,NIB INTERNATIONAL BANK - METTU,,OROMIA,,,ET,471412522,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449448,moneygram,NIB INTERNATIONAL BANK - MIDREGENET,,HARERI,,,ET,254662003,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449451,moneygram,NIB INTERNATIONAL BANK - MISMARTERA,,ADDIS ABABA,,,ET,112735771,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449464,moneygram,NIB INTERNATIONAL BANK - MOYALE,,OROMIA,,,ET,+251 46 446 1469,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449477,moneygram,NIB INTERNATIONAL BANK - NEKEMETE,,OROMIA,,,ET,+251 57 661 3211,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449480,moneygram,NIB INTERNATIONAL BANK - NIB HALAL AISHA,,ADDIS ABABA,,,ET,113695410,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449493,moneygram,NIB INTERNATIONAL BANK - NIB HALAL AMAN,,SNNPRS,,,ET,+251 46 556 1800,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449503,moneygram,NIB INTERNATIONAL BANK - NIB HALAL AMIN,,ADDIS ABABA,,,ET,112736642,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449516,moneygram,NIB INTERNATIONAL BANK - NIB HALAL ASELL,,OROMIA,,,ET,222381892,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449529,moneygram,NIB INTERNATIONAL BANK - NIB HALAL BIDAR,,SNNPRS,,,ET,461453199,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449532,moneygram,NIB INTERNATIONAL BANK - NIB HALAL GOFA,,ADDIS ABABA,,,ET,114705808,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449545,moneygram,NIB INTERNATIONAL BANK - NIB HALAL HAKIK,,SNNPRS,,,ET,467710774,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449558,moneygram,NIB INTERNATIONAL BANK - NIB HALAL HOSSA,,SNNPRS,,,ET,+251 46 555 2535,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449561,moneygram,NIB INTERNATIONAL BANK - NIB HALAL KEZIR,,DIREDAWA CITY,,,ET,254113372,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449574,moneygram,NIB INTERNATIONAL BANK - NIB HALAL KOLFE,,ADDIS ABABA,,,ET,112739541,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449587,moneygram,NIB INTERNATIONAL BANK - NIB HALAL MEHAL,,ADDIS ABABA,,,ET,112735592,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449590,moneygram,NIB INTERNATIONAL BANK - NIB HALAL SHASH,,OROMIA,,,ET,462112810,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449600,moneygram,NIB INTERNATIONAL BANK - NIB PREMIUM,,ADDIS ABABA,,,ET,115577327,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449613,moneygram,NIB INTERNATIONAL BANK - ODA,,OROMIA,,,ET,462110035,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449626,moneygram,NIB INTERNATIONAL BANK - OLEN CHITI,,OROMIA,,,ET,+251 22 113 0060,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449639,moneygram,NIB INTERNATIONAL BANK - SARBET,,ADDIS ABABA,,,ET,113832123,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449642,moneygram,NIB INTERNATIONAL BANK - SAWULA,,SNNPRS,,,ET,467771470,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449655,moneygram,NIB INTERNATIONAL BANK - SEALM BER,,SNNPRS,,,ET,464590856,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449668,moneygram,NIB INTERNATIONAL BANK - SHAKISO,,OROMIA,,,ET,+251 46 334 2100,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449671,moneygram,NIB INTERNATIONAL BANK - SHECHA,,SNNPRS,,,ET,461815238,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449684,moneygram,NIB INTERNATIONAL BANK - SHENO,,OROMIA,,,ET,+251 11 687 0227,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449697,moneygram,NIB INTERNATIONAL BANK - SUMMIT CMC ADEB,,ADDIS ABABA,,,ET,116680412,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449707,moneygram,NIB INTERNATIONAL BANK - TORA,,SNNPRS,,,ET,462380688,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449710,moneygram,NIB INTERNATIONAL BANK - TULU BOLO,,OROMIA,,,ET,+251 11 342 1060,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74449723,moneygram,NIB INTERNATIONAL BANK - WOLAYTA SODO ME,,SNNPRS,,,ET,461802874,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70562277,moneygram,NIB INTERNATIONAL BANK - BESHALE,,ADDIS ABABA,,,ET,2515503288,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70562264,moneygram,NIB INTERNATIONAL BANK - 22 MAZORIA,,SEBETA,,,ET,2513679123,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70562303,moneygram,NIB INTERNATIONAL BANK - ADAMA MENAHARIE,,ADDIS ABABA,,,ET,2515503288,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70562293,moneygram,NIB INTERNATIONAL BANK - AFATESSE,,ADDIS ABABA,,,ET,2515503288,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70562329,moneygram,NIB INTERNATIONAL BANK - SHEGER MENAFESH,,ADDIS ABABA,,,ET,2511264951,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
