Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4876f9311d4cc6f0ede2edd4658f2342,western_union,N SH SHPENDI,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/4876f9311d4cc6f0ede2edd4658f2342,Mo-Fr 07:30-20:00; Sa 07:30-17:00,Western Union,Q861042
850f9383c7797fbb480b8bbcef76ed1f,western_union,ZEUS SH.P.K.,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/850f9383c7797fbb480b8bbcef76ed1f,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
aac823514e98be864ce2f375d760c37d,western_union,POSTA E KOSOVES SH A,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/aac823514e98be864ce2f375d760c37d,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
01d27f1bd20cbca15576323f8ce446a3,western_union,MOBI COMPUTERS NJESIA 10,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/01d27f1bd20cbca15576323f8ce446a3,Mo-Fr 08:00-19:00; Sa 09:00-16:00,Western Union,Q861042
213aa350ad35ea9dc238e4b803ab58b6,western_union,ELMI FAZLI B I,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/213aa350ad35ea9dc238e4b803ab58b6,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
4486651981460e6707f211d2480b5336,western_union,HAJRIJE R KRASNIQI BI,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/4486651981460e6707f211d2480b5336,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
cbe8455c62fbacd52f369a2d40c43e6e,western_union,BLINI UNION SH P K,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/cbe8455c62fbacd52f369a2d40c43e6e,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
d9c10d9d5a920dba204d45cf82a9ebe8,western_union,GANIMETE PACOLLI B I,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/d9c10d9d5a920dba204d45cf82a9ebe8,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
b3a09cfdc41f2c37e6774beb44e3f6a3,western_union,HIB PRISHTINE 1,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/b3a09cfdc41f2c37e6774beb44e3f6a3,Mo-Fr 08:00-19:00; Sa 09:00-16:00,Western Union,Q861042
8807735229a5c2d48b480ec2d0de2491,western_union,LULEJETA HYSENI B I,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/8807735229a5c2d48b480ec2d0de2491,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
4290ee9fcef5fd931e5762554611187c,western_union,ERJON BORA SH P K,,Prshtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prshtine/4290ee9fcef5fd931e5762554611187c,Mo-Fr 08:00-18:00; Sa 09:00-16:00,Western Union,Q861042
a7aa68b6586d59faa1fd98101630d163,western_union,HIB PRISHTINE 2,,Prishtine,PRISHTINA,,XK,+383 38 549 840,https://location.westernunion.com/k1/prishtina/prishtine/a7aa68b6586d59faa1fd98101630d163,Mo-Fr 08:00-19:00; Sa 09:00-16:00,Western Union,Q861042
