Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66411879,moneygram,BOC - FJZZ YUEXI SUB-BRANCH,,ZHANGZHOU,,,CN,5952930365,,Mo-Fr 08:30-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412357,moneygram,BOC - FJZZ XINHUANANLU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 288 3434,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411293,moneygram,BOC - FJZZ XIPU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 583 1213,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411086,moneygram,BOC - FJZZ JIUZHEN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 376 3205,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412108,moneygram,BOC - FJZZ SHANGJIE SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 252 7033,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410799,moneygram,BOC - FJZZ HAICHENG SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 674 5249,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66405694,moneygram,BOC - FJZZ SHANCHENG SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 782 4001,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412797,moneygram,BOC - FJZZ LONGCHI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 666 9660,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411989,moneygram,BOC - FJZZ TENGFEILU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 203 1010,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412881,moneygram,BOC - FJZZ LONGHAI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 656 3001,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412263,moneygram,BOC - FJZZ JINFENG SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 267 2509,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412580,moneygram,BOC - FJZZ YANBEI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 202 5025,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66410838,moneygram,BOC - FJZZ GANGWEI SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 688 2245,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412849,moneygram,BOC - FJZZ QIAOXING SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 677 6517,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412632,moneygram,BOC - FJZZ GUANYUAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 293 2910,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412412,moneygram,BOC - FJZZ SHENGLILU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 292 3818,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411167,moneygram,BOC - FJZZ SUIAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 322 4960,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411112,moneygram,BOC - FJZZ FOTAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 366 1265,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411196,moneygram,BOC - FJZZ DONGSHAN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 583 1068,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411222,moneygram,BOC - FJZZ TONGLING SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 562 0426,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412153,moneygram,BOC - FJZZ XIANGCHENG SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 205 7627,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66411361,moneygram,BOC - FJZZ NANZHAO SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 332 6374,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412496,moneygram,BOC - FJZZ LONGWEN SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 210 0005,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66404860,moneygram,BOC - FJZZ PINGHE SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 523 7741,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
66412742,moneygram,BOC - FJZZ JIAOMEI KAIFAQU SUB-BRANCH,,ZHANGZHOU,,,CN,+86 596 676 6019,,Mo-Fr 09:00-17:00; Sa-Su 09:00-16:30,MoneyGram,Q1944412
