Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
69203246,moneygram,BERHAN INTERNATIONAL BANK S.C. - KOTEBE,,ADDIS ABABA,,,ET,116675528,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70683062,moneygram,BERHAN INTERNATIONAL BANK - ALETA WONDO,,ALETA WONDO,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683088,moneygram,BERHAN INTERNATIONAL BANK - KOMBOLCHA BR,,AMHARA,,,ET,+251 11 663 2088,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683091,moneygram,BERHAN INTERNATIONAL BANK - WUHA LIMAT B,,ADDIS ABABA,,,ET,+251 11 663 2089,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683101,moneygram,BERHAN INTERNATIONAL BANK - MEKI BRANCH,,MEK'I,,,ET,+251 11 663 2090,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683114,moneygram,BERHAN INTERNATIONAL BANK - URAEL BRANCH,,ADDIS ABABA,,,ET,+251 11 663 2092,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684841,moneygram,BERHAN INTERNATIONAL BANK - ADDISU GEBEY,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684854,moneygram,BERHAN INTERNATIONAL BANK - WOSSEN BRANC,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684867,moneygram,BERHAN INTERNATIONAL BANK - JIMMA ABA JI,,JIMMA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684935,moneygram,BERHAN INTERNATIONAL BANK - LEM MEGENAGN,,ADDIS ABABA,,,ET,+251 11 663 2087,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70679908,moneygram,BERHAN INTERNATIONAL BANK - SEFERE SELAM,,ADDIS ABABA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683046,moneygram,BERHAN INTERNATIONAL BANK - BERECHA-ADAM,,ADAMA,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684922,moneygram,BERHAN INTERNATIONAL BANK - BODITI BRANC,,BODITI,,,ET,+251 11 663 2086,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70682940,moneygram,BERHAN INTERNATIONAL BANK - DURAME BRANC,,DURAME,,,ET,+251 11 663 2083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70683075,moneygram,BERHAN INTERNATIONAL BANK - SHONE BRANCH,,SHONE,,,ET,+251 11 663 2084,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70684919,moneygram,BERHAN INTERNATIONAL BANK - MODJO BRANCH,,MODJO,,,ET,+251 11 663 2085,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70705791,moneygram,BERHAN INTERNATIONAL BANK - BUTAJIRA BRA,,BUTAJIRA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70705801,moneygram,BERHAN INTERNATIONAL BANK - BEKLOBET BRA,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70706127,moneygram,BERHAN INTERNATIONAL BANK - TANA BAHIRDA,,BAHIR DAR,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70706512,moneygram,BERHAN INTERNATIONAL BANK - GORO FLINTST,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70705827,moneygram,BERHAN INTERNATIONAL BANK - GOMBORA BRAN,,GOMBORA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70705814,moneygram,BERHAN INTERNATIONAL BANK - GIMBICHO BRA,,GIMBICHO,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70782565,moneygram,BERHAN INTERNATIONAL BANK - BOLE BULBULA,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70782581,moneygram,BERHAN INTERNATIONAL BANK - SARBET,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70782594,moneygram,BERHAN INTERNATIONAL BANK - BATU,,SNNP,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70782918,moneygram,BERHAN INTERNATIONAL BANK - ADDISU GEBEY,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70782976,moneygram,BERHAN INTERNATIONAL BANK - SULULTA,,OROMIA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70783933,moneygram,BERHAN INTERNATIONAL BANK - BETEHEL,,OROMIA,,,ET,251632083,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70783946,moneygram,BERHAN INTERNATIONAL BANK - JINKA,,OROMIA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70782992,moneygram,BERHAN INTERNATIONAL BANK - MEKANISA,,ADDIS ABABA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70784291,moneygram,BERHAN INTERNATIONAL BANK - HOLETA,,OROMIA,,,ET,251632083,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
