Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65e335c0ac304155b890f0fc,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Waldkraiburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Waldkraiburg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f4,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Pasing,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f0,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Ostbahnhof,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0cc,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Neuperlach,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f6,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Leopoldstra%C3%9Fe,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f5,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Hauptbahnhof,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f1,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¼nchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%BCnchen-Harras,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f7,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Landshut,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Landshut,Mo 10:00-13:00; Th 10:00-13:00,Commerzbank,Q157617
65e335c0ac304155b890f0ef,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Ingolstadt,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Ingolstadt-Mitte,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0ca,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,GrÃ¼nwald,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Gr%C3%BCnwald,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0ee,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Garmisch-Partenkirchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Garmisch-Partenkirchen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f9,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,FÃ¼rstenfeldbruck,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/F%C3%BCrstenfeldbruck,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0f8,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Freising,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Freising,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0ed,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Dachau,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Dachau,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0ec,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Augsburg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Augsburg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
