Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72168268,moneygram,BUNNA INTERNATIONAL BANK S.C - #279 - SE,,SEBETA,,,ET,25113384873,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479890,moneygram,BUNNA BANK S.C. - #447 - ALEM KETEMA,,ALEM KETEMA,,,ET,+251 91 159 5201,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74479900,moneygram,BUNNA BANK S.C. - #448 - YEKA MICHAEL,,ADDIS ABABA,,,ET,+251 91 240 5184,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541207,moneygram,BUNNA BANK S.C. - #449 - MENDIDA,,MENDIDA,,,ET,+251 91 293 9023,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541210,moneygram,BUNNA BANK S.C. - #450 - TULUDIMTU SQUAR,,ADDIS ABABA,,,ET,+251 92 199 2594,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541223,moneygram,BUNNA BANK S.C. - #451 - GOFA MEBRAT,,ADDIS ABABA,,,ET,+251 92 836 1021,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541236,moneygram,BUNNA BANK S.C. - #452 - MEHAL MEDA,,MEHAL MEDA,,,ET,+251 91 146 1704,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541249,moneygram,BUNNA BANK S.C. - #453 - HAYIK,,HAYIK,,,ET,+251 91 358 1111,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541252,moneygram,BUNNA BANK S.C. - #454 - KIDANE MIHIRET,,BAHIRDAR,,,ET,+251 95 108 9226,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541265,moneygram,BUNNA BANK S.C. - #455 - KOGA,,MERAWI,,,ET,+251 91 159 5201,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74541278,moneygram,BUNNA BANK S.C. - #456 - WOLISO,,WOLISO,,,ET,+251 91 240 5184,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557408,moneygram,BUNNA BANK S.C. - #473 - FERES BET,,DEGA DAMOT,,,ET,+251 92 849 2714,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557411,moneygram,BUNNA BANK S.C. - #474 - ADEA,,BISHOFTU,,,ET,+251 91 074 9058,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557424,moneygram,BUNNA BANK S.C. - #475 - KIDUS GIORGIS,,DEBRE BIRHAN,,,ET,+251 91 931 5275,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557437,moneygram,BUNNA BANK S.C. - #476 - ANDABET,,ANDABET,,,ET,+251 92 176 3199,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557440,moneygram,BUNNA BANK S.C. - #477 - SIMADA,,WEGEDA,,,ET,+251 91 871 1249,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557453,moneygram,BUNNA BANK S.C. - #478 - MOLALE,,MENZ MAMA MEDER,,,ET,+251 91 381 2118,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557466,moneygram,BUNNA BANK S.C. - #479 - WONJI MAZORIA,,ADAMA,,,ET,+251 91 149 0758,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557479,moneygram,BUNNA BANK S.C. - #480 - KELALA,,KELALA,,,ET,+251 92 559 7979,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557592,moneygram,BUNNA BANK S.C. - #465 - RAS BITWEDED ME,,BURE,,,ET,+251 91 395 0752,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557602,moneygram,BUNNA BANK S.C. - #466 - KEMISSIE,,KEMISSIE,,,ET,+251 94 252 2499,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557615,moneygram,BUNNA BANK S.C. - #467 - YEZELEKA,,DEMBECHA,,,ET,+251 92 303 8614,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557628,moneygram,BUNNA BANK S.C. - #468 - BATI,,DESSIE,,,ET,+251 92 126 2153,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557631,moneygram,BUNNA BANK S.C. - #469 - AKAKI ALEM BANK,,ADDIS ABABA,,,ET,+251 91 208 3385,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557644,moneygram,BUNNA BANK S.C. - #470 - AZEZO,,GONDOR,,,ET,+251 92 853 2185,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557657,moneygram,BUNNA BANK S.C. - #471 - YELA SAWLA,,SAWLA,,,ET,+251 91 064 0532,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557660,moneygram,BUNNA BANK S.C. - #472 - MEKANISA KORE,,ADDIS ABABA,,,ET,+251 92 024 8210,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557673,moneygram,BUNNA BANK S.C. - #481 - JAMA DEGOLA,,JAMA DEGOLO,,,ET,+251 92 072 0678,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557686,moneygram,BUNNA BANK S.C. - #482 - GERAY,,FENOTE SELAM,,,ET,+251 92 076 4584,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557699,moneygram,BUNNA BANK S.C. - #483 - BETHEL MICHAEL,,ADDIS ABABA,,,ET,+251 91 218 6247,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557709,moneygram,BUNNA BANK S.C. - #484 - YOHANNES,,ADDIS ABABA,,,ET,+251 91 131 4009,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557712,moneygram,BUNNA BANK S.C. - #485 - GENDA WUHA,,GENDA WUHA,,,ET,+251 91 801 6821,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557725,moneygram,BUNNA BANK S.C. - #486 - CHIRO,,CHIRO,,,ET,+251 92 000 3777,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557738,moneygram,BUNNA BANK S.C. - #487 - ADDIS ALEM,,BAHIRDAR,,,ET,+251 91 807 2308,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557741,moneygram,BUNNA BANK S.C. - #488 - ADAMA LUGO,,LUGO,,,ET,+251 91 266 0654,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557754,moneygram,BUNNA BANK S.C. - #489 - ADAMA KELO,,DABIE,,,ET,+251 91 040 6105,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557767,moneygram,BUNNA BANK S.C. - #490 - ANKOBER,,ANKOBER,,,ET,+251 91 060 7528,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557770,moneygram,BUNNA BANK S.C. - #491 - METHBILA,,METHBILA,,,ET,+251 91 158 4083,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557783,moneygram,BUNNA BANK S.C. - #492 - HAWASA AREBSEFE,,HAYIK DAR,,,ET,+251 91 391 8444,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557796,moneygram,BUNNA BANK S.C. - #493 - SHONE,,ARENCHA,,,ET,+251 92 654 3214,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557806,moneygram,BUNNA BANK S.C. - #494 - DODOLA,,DODOLA,,,ET,+251 91 326 8501,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557819,moneygram,BUNNA BANK S.C. - #495 - DOYOGENA,,DOYOGENA,,,ET,+251 91 685 7983,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74557822,moneygram,BUNNA BANK S.C. - #496 - HADERO,,HADERO,,,ET,+251 91 014 9606,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566855,moneygram,BUNNA BANK S.C. - #497 - SHINSHICHO,,SHINSHICHO,,,ET,+251 97 824 2296,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566868,moneygram,BUNNA BANK S.C. - #498 - TERIE,,TERIE,,,ET,+251 91 284 4995,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566871,moneygram,BUNNA BANK S.C. - #499 - SARBET,,ADDIS ABABA,,,ET,+251 91 376 3091,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566884,moneygram,BUNNA BANK S.C. - #501 - YEBOKLA,,GOZAMIN,,,ET,+251 91 866 0153,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566897,moneygram,BUNNA BANK S.C. - #502 - ADAMA KELA,,ADAMA,,,ET,+251 92 408 3670,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566907,moneygram,BUNNA BANK S.C. - #503 - VARNERO,,ADDIS ABABA,,,ET,+251 92 154 4654,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566910,moneygram,BUNNA BANK S.C. - #504 - LAFTO VIEW,,ADDIS ABABA,,,ET,+251 96 176 3785,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74566923,moneygram,BUNNA BANK S.C. - #505 - MUGAD,,WOLDIA,,,ET,+251 91 307 7961,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74568578,moneygram,BUNNA BANK S.C. - #506 - MILLE,,MILLE,,,ET,+251 91 072 8292,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
74568581,moneygram,BUNNA BANK S.C. - #507 - GERADO,,SEGNO GEBEYA,,,ET,+251 91 304 9182,,Mo-Sa 08:00-18:30; Su 00:00-24:00,MoneyGram,Q1944412
