Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68259961,moneygram,DENIZBANK - #9076 - IZMIR,,IZMIR,,,TR,3559393,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260620,moneygram,DENIZBANK - #2600 - IZMIR - TIRE,,IZMIR,,,TR,5128388,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263203,moneygram,DENIZBANK - #9980 - IZMIR - KARABAGLAR I,,IZMIR,,,TR,2379090,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263588,moneygram,DENIZBANK - #4480 - IZMIR - KEMALPASA,,IZMIR,,,TR,8780060,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265489,moneygram,DENIZBANK - #4720 - IZMIR - BOSTANLI,,IZMIR,,,TR,3307590,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261470,moneygram,DENIZBANK - #4730 - IZMIR - URLA,,IZMIR,,,TR,7543766,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263151,moneygram,DENIZBANK - #2080 - IZMIR - IZMIR GIDA C,,IZMIR,,,TR,4697585,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262495,moneygram,DENIZBANK - #7010 - IZMIR - FEVZIPASA BU,,IZMIR,,,TR,4836066,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260617,moneygram,DENIZBANK - #2720 - IZMIR - BERGAMA,,IZMIR,,,TR,6329567,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260662,moneygram,DENIZBANK - #2740 - IZMIR - MENEMEN,,IZMIR,,,TR,8325832,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260866,moneygram,DENIZBANK - #3090 - IZMIR - BUCA,,IZMIR,,,TR,4404747,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264299,moneygram,DENIZBANK - #7080 - IZMIR - CESME,,IZMIR,,,TR,7122022,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263533,moneygram,DENIZBANK - #4270 - IZMIR - ALIAGA,,IZMIR,,,TR,6170707,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265939,moneygram,DENIZBANK - #5810 - IZMIR - BOZYAKA,,IZMIR,,,TR,2560120,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262589,moneygram,DENIZBANK - #8020 - IZMIR - ALTINDAG,,IZMIR,,,TR,4671075,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265188,moneygram,DENIZBANK - #3610 - IZMIR - GAZIEMIR,,IZMIR,,,TR,2514477,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260688,moneygram,DENIZBANK - #2580 - IZMIR - TORBALI,,IZMIR,,,TR,8561314,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262411,moneygram,DENIZBANK - #5800 - IZMIR - CIGLI AOSB,,IZMIR,,,TR,3767755,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68259990,moneygram,DENIZBANK - #9701 - IZMIR - EGE SERBEST,,IZMIR,,,TR,2522906,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262929,moneygram,DENIZBANK - #9190 - IZMIR - ALSANCAK,,IZMIR,,,TR,4646415,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265829,moneygram,DENIZBANK - #5210 - IZMIR - MANAVKUYU,,IZMIR,,,TR,3473100,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264626,moneygram,DENIZBANK - #9760 - IZMIR - HATAY IZMIR,,IZMIR,,,TR,2552004,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262356,moneygram,DENIZBANK - #5590 - IZMIR - CAMDIBI,,IZMIR,,,TR,4610320,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261292,moneygram,DENIZBANK - #4280 - IZMIR - BAYINDIR,,IZMIR,,,TR,5814133,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262602,moneygram,DENIZBANK - #7070 - IZMIR - 2. SANAYI SI,,IZMIR,,,TR,4624080,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261661,moneygram,DENIZBANK - #1190 - IZMIR - GREEN DROP K,,IZMIR,,,TR,5724304,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
