Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68919418,moneygram,ARTHAPOS - #TNG - TANGERANG - KPRK TANGE,,TANGERANG,,,ID,+62 21 71794849,,Mo-Sa 06:00-22:00; Su 07:00-15:00,MoneyGram,Q1944412
71690630,moneygram,BTN - TANGERANG SELATAN - MUNCUL,,TANGERANG SELATAN,,,ID,+62 21 86861190,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690656,moneygram,BTN - TANGERANG SELATAN - MELATI MAS,,TANGERANG SELATAN,,,ID,+62 21 54212141,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691448,moneygram,BTN - TANGERANG - RAJEG,,TANGERANG,,,ID,+62 21 88393519,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71691480,moneygram,BTN - TANGERANG - WISMA MAS,,TANGERANG,,,ID,+62 21 5984676,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71693019,moneygram,BTN - TANGERANG - PN TANGERANG,,TANGERANG,,,ID,+62 21 7112669,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688891,moneygram,BTN - TANGERANG - MERDEKA,,TANGERANG,,,ID,+62 21 55766584,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689023,moneygram,BTN - TANGERANG SELATAN - UNIVERSITAS TE,,TANGERANG SELATAN,,,ID,+62 21 7445145,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688817,moneygram,BTN - TANGERANG - PENINGGILAN,,TANGERANG,,,ID,+62 21 2310490,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689104,moneygram,BTN - TANGERANG SELATAN - SERUA,,TANGERANG SELATAN,,,ID,+62 21 74631697,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690698,moneygram,BTN - TANGERANG SELATAN - CISAUK,,TANGERANG SELATAN,,,ID,+62 21 53121650,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688820,moneygram,BTN - TANGERANG - TELUK NAGA EX. KARANG,,TANGERANG,,,ID,+62 21 5539363,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688804,moneygram,BTN - TANGERANG - DUTA GARDEN - DAAN MOG,,TANGERANG,,,ID,21577248,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688846,moneygram,BTN - TANGERANG - PASAR BARU EKS. CITY M,,TANGERANG,,,ID,+62 21 55770677,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688833,moneygram,BTN - TANGERANG - PINANG,,TANGERANG,,,ID,+62 21 55742096,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71688862,moneygram,BTN - TANGERANG - PORIS INDAH,,TANGERANG,,,ID,+62 21 7333898,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71690627,moneygram,BTN - TANGERANG - GRAHA RAYA,,TANGERANG,,,ID,+62 21 88886843,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71689036,moneygram,BTN - TANGERANG SELATAN - CIRENDEU,,TANGERANG SELATAN,,,ID,+62 21 7375789,,Mo-Fr 06:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
