Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71995526,moneygram,ABAY BANK SC - ADDIS ABABA - BAMBIS,,ADDIS ABABA,,,ET,115571248,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
66105554,moneygram,CBE - YABELLO,,YABELO,,,ET,+251 46 446 0234,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105570,moneygram,CBE - ADOLA,,ADOLA,,,ET,+251 46 335 0117,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105583,moneygram,CBE - ALABA KULITO,,ALA,,,ET,+251 46 556 0067,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105596,moneygram,CBE - ALETA WONDO,,ALETA,,,ET,+251 46 224 0042,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105619,moneygram,CBE - ARBAMINCH,,ARBA MINCH',,,ET,+251 46 881 5086,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105651,moneygram,CBE - BULE HORA /HAGERE MARIAM,,BULE,,,ET,+251 46 331 2364,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105664,moneygram,CBE - CHENCHA,,CH'ENCH'A,,,ET,251467760009,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105680,moneygram,CBE - DILLA,,DILLA,,,ET,+251 46 331 2364,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105729,moneygram,CBE - GIDOLE,,GIDOLE,,,ET,251467740023,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105745,moneygram,CBE - JINKA,,ARBA MINCH',,,ET,251467750032,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105761,moneygram,CBE - SHAKISSO,,SHAKISO,,,ET,+251 46 334 0065,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105774,moneygram,CBE - TABOR,,TABOR,,,ET,+251 46 221 1429,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105787,moneygram,CBE - WOLAITA SODO,,WOLENKOMI,,,ET,+251 46 551 2368,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105800,moneygram,CBE - YIRGACHEFFE,,SIDAMO,,,ET,+251 46 332 0043,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105813,moneygram,CBE - YIRGALEM,,SIDAMO,,,ET,+251 46 332 0043,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66105567,moneygram,CBE - ZEWAY,,ZIWAY,,,ET,+251 46 441 2666,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
66247302,moneygram,WEGAGEN BANK - SHASHEMENE BRANCH,,SHASHEMENE,,,ET,2510461103468,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247357,moneygram,WEGAGEN BANK - SHIRE BRANCH,,ENDA RAS,,,ET,+251 34 444 2165,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247386,moneygram,WEGAGEN BANK - T/HAILMANOT BRANCH,,ADDIS ABABA,,,ET,+251 11 156 3813,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247674,moneygram,WEGAGEN BANK - WELOSEFER BRANCH,,ADDIS ABABA,,,ET,+251 11 466 8006,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247726,moneygram,WEGAGEN BANK - WEYRA BETEL BRANCH,,ADDIS ABABA,,,ET,+251 11 653 5484,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247771,moneygram,WEGAGEN BANK - WUHALIMAT BRANCH,,ADDIS ABABA,,,ET,+251 11 662 5146,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66245799,moneygram,WEGAGEN BANK - ABINET AREA BRANCH,,ADDIS ABABA,,,ET,+251 11 278 0571,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66245838,moneygram,WEGAGEN BANK - ADAMA BRANCH,,ADAMA,,,ET,+251 22 112 6071,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66245883,moneygram,WEGAGEN BANK - ADIGRAT BRANCH,,ADIGRAT,,,ET,+251 34 445 2866,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66245935,moneygram,WEGAGEN BANK - ADWA BRANCH,,ADWA,,,ET,+251 34 771 4046,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66245964,moneygram,WEGAGEN BANK - AFRICA AVENUE BRANCH,,ADDIS ABABA,,,ET,+251 11 662 4772,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246057,moneygram,WEGAGEN BANK - AFRICA UNION BRANCH,,ADDIS ABABA,,,ET,+251 11 554 7061,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246170,moneygram,WEGAGEN BANK - ARADA BRANCH,,ADDIS ABABA,,,ET,+251 11 111 1675,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246222,moneygram,WEGAGEN BANK - AWASSA BRANCH,,AWASA,,,ET,+251 46 220 2629,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246277,moneygram,WEGAGEN BANK - AXUM BRANCH,,ABAS,,,ET,+251 34 775 3439,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246303,moneygram,WEGAGEN BANK - BAHIR DAR BRANCH,,BAHIR DAR,,,ET,+251 58 220 2038,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246345,moneygram,WEGAGEN BANK - BEKLOBET BRANCH,,ADDIS ABABA,,,ET,+251 11 466 3588,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246455,moneygram,WEGAGEN BANK - BOLE MEDHANIALEM BRANCH,,ADDIS ABABA,,,ET,+251 11 661 6135,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246471,moneygram,WEGAGEN BANK - CMC BRANCH,,ADDIS ABABA,,,ET,+251 11 647 9047,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246507,moneygram,WEGAGEN BANK - DESSIE BRANCH,,DESS,,,ET,+251 33 111 3788,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246523,moneygram,WEGAGEN BANK - DIRE DAWA BRANCH,,DIRE DAWA,,,ET,+251 25 111 0827,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246549,moneygram,WEGAGEN BANK - EDAGA MEKELLE BRANCH,,MEK'ELE,,,ET,+251 34 441 3666,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246578,moneygram,WEGAGEN BANK - GERJI BRANCH,,ADDIS ABABA,,,ET,+251 11 629 8141,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246594,moneygram,WEGAGEN BANK - GOFFA BRANCH,,ADDIS ABABA,,,ET,+251 11 465 5816,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246604,moneygram,WEGAGEN BANK - GONDER BRANCH,,GONDER,,,ET,+251 58 111 4650,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246714,moneygram,WEGAGEN BANK - HARAR BRANCH,,HARER,,,ET,+251 25 666 4622,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246798,moneygram,WEGAGEN BANK - JIJIGA BRANCH,,JIJIGA,,,ET,+251 25 775 2059,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246895,moneygram,WEGAGEN BANK - KAZANCHIS BRANCH,,ADDIS ABABA,,,ET,+251 11 554 5672,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246921,moneygram,WEGAGEN BANK - KEZIRA BRANCH,,DIRE DAWA,,,ET,2510251130371,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66246989,moneygram,WEGAGEN BANK - MEKELLE BRANCH,,MEK'ELE,,,ET,+251 34 440 8933,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247014,moneygram,WEGAGEN BANK - MERKATO BRANCH,,ADDIS ABABA,,,ET,+251 11 275 2867,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247056,moneygram,WEGAGEN BANK - MESALEMIA BRANCH,,ADDIS ABABA,,,ET,+251 11 276 5154,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
66247098,moneygram,WEGAGEN BANK - MESKEL BRANCH,,ADDIS ABABA,,,ET,+251 11 551 2728,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
