Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68260251,moneygram,DENIZBANK - #9930 - ISTANBUL - ALTUNIZAD,,ISTANBUL,,,TR,6511511,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262084,moneygram,DENIZBANK - #5130 - ISTANBUL - SANCAKTEP,,ISTANBUL,,,TR,6482081,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265670,moneygram,DENIZBANK - #1580 - ISTANBUL - YEDPA,,ISTANBUL,,,TR,4712767,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264749,moneygram,DENIZBANK - #2450 - ISTANBUL - ALTIYOL,,ISTANBUL,,,TR,3476113,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265023,moneygram,DENIZBANK - #3140 - ISTANBUL - MODA,,ISTANBUL,,,TR,3465442,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265214,moneygram,DENIZBANK - #3720 - ISTANBUL - UMRANIYE,,ISTANBUL,,,TR,3446696,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260523,moneygram,DENIZBANK - #2480 - ISTANBUL - TUZLA TER,,ISTANBUL,,,TR,4935000,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264972,moneygram,DENIZBANK - #3050 - ISTANBUL - SULTANBEY,,ISTANBUL,,,TR,4966800,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265340,moneygram,DENIZBANK - #4230 - ISTANBUL - KURTKOY,,ISTANBUL,,,TR,3787858,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260112,moneygram,DENIZBANK - #9520 - ISTANBUL - UMRANIYE,,ISTANBUL,,,TR,5231210,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263083,moneygram,DENIZBANK - #9560 - ISTANBUL - KADIKOY,,ISTANBUL,,,TR,4145270,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264176,moneygram,DENIZBANK - #5900 - ISTANBUL - LIBADIYE,,ISTANBUL,,,TR,6509178,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264503,moneygram,DENIZBANK - #9240 - ISTANBUL - KAZASKER,,ISTANBUL,,,TR,4644150,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68259974,moneygram,DENIZBANK - #9110 - ISTANBUL - PENDIK E5,,ISTANBUL,,,TR,4524400,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265997,moneygram,DENIZBANK - #5910 - ISTANBUL - BEYLERBEY,,ISTANBUL,,,TR,5579800,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264613,moneygram,DENIZBANK - #9580 - ISTANBUL - KARTAL CA,,ISTANBUL,,,TR,4889090,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260510,moneygram,DENIZBANK - #2410 - ISTANBUL - KAVACIK,,ISTANBUL,,,TR,4252042,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265528,moneygram,DENIZBANK - #4840 - ISTANBUL - TUZLA ORG,,ISTANBUL,,,TR,5933199,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264781,moneygram,DENIZBANK - #2520 - ISTANBUL - GOZTEPE I,,ISTANBUL,,,TR,3861970,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262071,moneygram,DENIZBANK - #5010 - ISTANBUL - SOGANLIK,,ISTANBUL,,,TR,4520303,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
