Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68249560,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260345,moneygram,DENIZBANK - #9610 - ISTANBUL - AKSARAY,,ISTANBUL,,,TR,5136660,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260031,moneygram,DENIZBANK - #9290 - ISTANBUL - AVCILAR,,ISTANBUL,,,TR,5910063,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261315,moneygram,DENIZBANK - #4160 - ISTANBUL - LALELI,,ISTANBUL,,,TR,4583009,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261399,moneygram,DENIZBANK - #4020 - ISTANBUL - SILIVRI,,ISTANBUL,,,TR,7287242,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263960,moneygram,DENIZBANK - #5100 - ISTANBUL - KASIMPASA,,ISTANBUL,,,TR,2385061,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265081,moneygram,DENIZBANK - #3260 - ISTANBUL - MECIDIYEK,,ISTANBUL,,,TR,2131220,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261072,moneygram,DENIZBANK - #3780 - ISTANBUL - BAHCESEHI,,ISTANBUL,,,TR,2608252,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261085,moneygram,DENIZBANK - #3820 - ISTANBUL - BEYAZIT,,ISTANBUL,,,TR,6380828,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263122,moneygram,DENIZBANK - #9570 - ISTANBUL - SEFAKOY,,ISTANBUL,,,TR,6240652,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264736,moneygram,DENIZBANK - #2420 - ISTANBUL - BEYKENT,,ISTANBUL,,,TR,8724700,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260468,moneygram,DENIZBANK - #2470 - ISTANBUL - IMSAN IKI,,ISTANBUL,,,TR,4712372,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260507,moneygram,DENIZBANK - #2460 - ISTANBUL - CAGLAYAN,,ISTANBUL,,,TR,2256763,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260840,moneygram,DENIZBANK - #3060 - ISTANBUL - SULTANCIF,,ISTANBUL,,,TR,6678050,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260976,moneygram,DENIZBANK - #3490 - ISTANBUL - TUMSAN BA,,ISTANBUL,,,TR,4858500,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262042,moneygram,DENIZBANK - #5040 - ISTANBUL - YENIBOSNA,,ISTANBUL,,,TR,6524801,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263119,moneygram,DENIZBANK - #9710 - ISTANBUL - FATIH,,ISTANBUL,,,TR,5349065,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260235,moneygram,DENIZBANK - #9750 - ISTANBUL - BEYOGLU,,ISTANBUL,,,TR,2450408,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260549,moneygram,DENIZBANK - #2400 - ISTANBUL - BESYUZEVL,,ISTANBUL,,,TR,5357354,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261386,moneygram,DENIZBANK - #4360 - ISTANBUL - 3 CADDE B,,ISTANBUL,,,TR,6692355,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262628,moneygram,DENIZBANK - #9120 - ISTANBUL - BES TELSI,,ISTANBUL,,,TR,5463757,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263106,moneygram,DENIZBANK - #9660 - ISTANBUL - MERTER,,ISTANBUL,,,TR,6372610,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264464,moneygram,DENIZBANK - #9126 - ISTANBUL - BAKIRKOY,,ISTANBUL,,,TR,6603000,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264529,moneygram,DENIZBANK - #9360 - ISTANBUL - BAHCELIEV,,ISTANBUL,,,TR,4412229,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260374,moneygram,DENIZBANK - #2210 - ISTANBUL - IKITELLI,,ISTANBUL,,,TR,6713202,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265845,moneygram,DENIZBANK - #5480 - ISTANBUL - HALKALI,,ISTANBUL,,,TR,6981503,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260387,moneygram,DENIZBANK - #9840 - ISTANBUL - 4. LEVENT,,ISTANBUL,,,TR,3259044,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262136,moneygram,DENIZBANK - #5230 - ISTANBUL - SARIYER,,ISTANBUL,,,TR,2425122,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264752,moneygram,DENIZBANK - #2440 - ISTANBUL - FINDIKZAD,,ISTANBUL,,,TR,5880607,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265049,moneygram,DENIZBANK - #3170 - ISTANBUL - TOPKAPI S,,ISTANBUL,,,TR,5673443,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265450,moneygram,DENIZBANK - #4640 - ISTANBUL - GUNGOREN,,ISTANBUL,,,TR,5536836,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260015,moneygram,DENIZBANK - #9230 - ISTANBUL - ETILER,,ISTANBUL,,,TR,2635831,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260471,moneygram,DENIZBANK - #2430 - ISTANBUL - NURUOSMAN,,ISTANBUL,,,TR,5191165,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261140,moneygram,DENIZBANK - #3860 - ISTANBUL - BUYUKCEKM,,ISTANBUL,,,TR,8824555,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262783,moneygram,DENIZBANK - #1335 - ISTANBUL - ESENYURT,,ISTANBUL,,,TR,8539440,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264668,moneygram,DENIZBANK - #9630 - ISTANBUL - 1 LEVENT,,ISTANBUL,,,TR,3254550,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265272,moneygram,DENIZBANK - #3940 - ISTANBUL - FLORYA,,ISTANBUL,,,TR,5741766,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260060,moneygram,DENIZBANK - #9370 - ISTANBUL - BEBEK,,ISTANBUL,,,TR,2878840,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265777,moneygram,DENIZBANK - #5070 - ISTANBUL - AVRUPA TE,,ISTANBUL,,,TR,6097888,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260264,moneygram,DENIZBANK - #9770 - ISTANBUL - ZEYTINBUR,,ISTANBUL,,,TR,5106650,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264079,moneygram,DENIZBANK - #5510 - ISTANBUL - KAPALICAR,,ISTANBUL,,,TR,5270203,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265230,moneygram,DENIZBANK - #3760 - ISTANBUL - BEYLIKDUZ,,ISTANBUL,,,TR,8758590,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265256,moneygram,DENIZBANK - #3870 - ISTANBUL - ESENYURT,,ISTANBUL,,,TR,6993808,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260390,moneygram,DENIZBANK - #2240 - ISTANBUL - RAMI,,ISTANBUL,,,TR,6168621,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260581,moneygram,DENIZBANK - #2530 - ISTANBUL - HADIMKOY,,ISTANBUL,,,TR,8861540,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260934,moneygram,DENIZBANK - #3290 - ISTANBUL - ISTOC,,ISTANBUL,,,TR,6599270,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263177,moneygram,DENIZBANK - #2190 - ISTANBUL - ISTANBUL,,ISTANBUL,,,TR,6169023,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260099,moneygram,DENIZBANK - #9440 - ISTANBUL - SIRINEVLE,,ISTANBUL,,,TR,4513277,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261658,moneygram,DENIZBANK - #1180 - ISTANBUL - KAGITHANE,,ISTANBUL,,,TR,3484020,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264354,moneygram,DENIZBANK - #1075 - ISTANBUL - VEZNECILE,,ISTANBUL,,,TR,5190851,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262958,moneygram,DENIZBANK - #9270 - ISTANBUL - ATRIUM,,ISTANBUL,,,TR,6616484,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262945,moneygram,DENIZBANK - #9250 - ISTANBUL - BAYRAMPAS,,ISTANBUL,,,TR,6745420,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264066,moneygram,DENIZBANK - #5390 - ISTANBUL - GUNESLI G,,ISTANBUL,,,TR,6570467,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265968,moneygram,DENIZBANK - #5920 - ISTANBUL - KUYUMCUKE,,ISTANBUL,,,TR,6032132,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260426,moneygram,DENIZBANK - #2260 - ISTANBUL - TOPCULAR,,ISTANBUL,,,TR,6125895,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261441,moneygram,DENIZBANK - #4630 - ISTANBUL - EYUP,,ISTANBUL,,,TR,5453774,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263449,moneygram,DENIZBANK - #3920 - ISTANBUL - SIRKECI,,ISTANBUL,,,TR,5274237,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264671,moneygram,DENIZBANK - #2100 - ISTANBUL - MASLAK,,ISTANBUL,,,TR,2863111,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261218,moneygram,DENIZBANK - #4000 - ISTANBUL - KEMERBURG,,ISTANBUL,,,TR,3484030,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262741,moneygram,DENIZBANK - #1225 - ISTANBUL - BAYRAMPAS,,ISTANBUL,,,TR,6406729,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263601,moneygram,DENIZBANK - #4600 - ISTANBUL - KOCAMUSTA,,ISTANBUL,,,TR,5870303,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261289,moneygram,DENIZBANK - #4240 - ISTANBUL - CATALCA,,ISTANBUL,,,TR,7896297,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68323156,moneygram,KUVEYT TURK BANK - ISTANBUL,,ISTANBUL,,,TR,+90 4440123,,Mo-Fr 09:00-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68259987,moneygram,DENIZBANK - #9040 - ISTANBUL - SULTANHAM,,ISTANBUL,,,TR,5132600,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261328,moneygram,DENIZBANK - #4090 - ISTANBUL - ESENLER,,ISTANBUL,,,TR,6100052,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264985,moneygram,DENIZBANK - #3070 - ISTANBUL - SISLI,,ISTANBUL,,,TR,3432681,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260303,moneygram,DENIZBANK - #9960 - ISTANBUL - NISANTASI,,ISTANBUL,,,TR,2919485,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264480,moneygram,DENIZBANK - #9180 - ISTANBUL - GUNESLI,,ISTANBUL,,,TR,6309310,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265175,moneygram,DENIZBANK - #3550 - ISTANBUL - BANKALAR,,ISTANBUL,,,TR,2535959,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263148,moneygram,DENIZBANK - #2270 - ISTANBUL - GUNGOREN,,ISTANBUL,,,TR,5571157,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262903,moneygram,DENIZBANK - #9050 - ISTANBUL - ELMADAG,,ISTANBUL,,,TR,2305233,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264532,moneygram,DENIZBANK - #2760 - ISTANBUL - PERPA,,ISTANBUL,,,TR,2109400,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260633,moneygram,DENIZBANK - #2610 - ISTANBUL - MEGA CENT,,ISTANBUL,,,TR,6407227,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262699,moneygram,DENIZBANK - #1165 - ISTANBUL - IBB OFIS,,ISTANBUL,,,TR,5130091,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
