Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72380279,moneygram,DIAMOND BANK PLC - #213 - IHIALA - OKIJA,,IHIALA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72378692,moneygram,DIAMOND BANK PLC - OMM,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625138,moneygram,ACCESS BANK PLC - AWKA,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625620,moneygram,ACCESS BANK PLC - AWKA ENUGU ONITSHA EXP,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624650,moneygram,ACCESS BANK PLC - BRIDGEHEAD,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626577,moneygram,ACCESS BANK PLC - IHIALA - OKIJA,,IHIALA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625057,moneygram,ACCESS BANK PLC - IWEKA ROAD,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625714,moneygram,ACCESS BANK PLC - NKPOR,,NKPOR,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624524,moneygram,ACCESS BANK PLC - NMR,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72626810,moneygram,ACCESS BANK PLC - NNAMDI AZIKWE UNIVERSI,,AWKA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624799,moneygram,ACCESS BANK PLC - NNEWI,,NNEWI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625170,moneygram,ACCESS BANK PLC - NNEWI 2,,NNEWI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625125,moneygram,ACCESS BANK PLC - OGBARU,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72625688,moneygram,ACCESS BANK PLC - OGIDI ONITSHA,,OGIDI,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
72624993,moneygram,ACCESS BANK PLC - OMM,,ONITSHA,,,NG,+234 1 271 2005,,Mo-Fr 08:00-16:00; Sa 10:00-14:00; Su 00:00-24:00,MoneyGram,Q1944412
