Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68509970,moneygram,ABAY BANK SC - BOLE MEDHANYALEM,,ADDIS ABABA,,,ET,91911753226,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
68509763,moneygram,ABAY BANK SC - SHEWA ROBIT,,SHEWA ROBIT,,,ET,33336641186,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
70490051,moneygram,ABAY BANK S.C - SHIMBIT,,BAHIR DAR,,,ET,583205046,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70490064,moneygram,ABAY BANK S.C - ASSELA,,ASSELA,,,ET,+251 22 223 0378,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70489839,moneygram,ABAY BANK S.C - ABOSTO,,SHASHEMENE,,,ET,46104304,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70513970,moneygram,ABAY BANK S.C - MEHAL SUMMIT,,ADDIS ABABA,,,ET,+251 91 202 3830,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70513996,moneygram,ABAY BANK S.C - MEHAL HAYA HULET,,ADDIS ABABA,,,ET,+251 92 399 2974,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70514005,moneygram,ABAY BANK S.C - HABTE GIORGIS,,ADDIS ABABA,,,ET,+251 91 116 9270,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70539705,moneygram,ABAY BANK S.C - EPHSON-ATAYE BRANCH,,ADDIS ABABA,,,ET,+251 91 116 9637,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70539653,moneygram,ABAY BANK S.C - URAEL BRANCH,,ADDIS ABABA,,,ET,+251 92 316 9639,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70617012,moneygram,ABAY BANK S.C - MARAKI BRANCH,,GONDER,,,ET,+251 25 111 2212,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70616712,moneygram,ABAY BANK S.C - BOLE MILLENNIUM BRANCH,,ADDIS ABABA,,,ET,251584734,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
70616709,moneygram,ABAY BANK S.C - BUAMBUA WUHA BRANCH,,DESSIE,,,ET,251732567,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
68525750,moneygram,ABAY BANK SC - ASHEWA SIGARA TERA,,DIRE DAWA,,,ET,25254100014,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
70489800,moneygram,ABAY BANK S.C - MEHONI,,MEHONI,,,ET,34740211,,Mo-Sa 08:00-22:00; Su 00:00-24:00,MoneyGram,Q1944412
71192947,moneygram,ABAY BANK S.C - JACROS BESHALE,,ADDIS ABABA,,,ET,+251 91 186 0044,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443337,moneygram,ABAY BANK S.C - AYAT GEBEYA,,ADDIS ABABA,,,ET,911911753226,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443379,moneygram,ABAY BANK S.C - GAMBELLA,,GAMBELLA,,,ET,+251 91 068 9611,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443382,moneygram,ABAY BANK S.C - NIGUS TEKLEHAIMANOT,,DEBRE MARK'OS,,,ET,581787818,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443434,moneygram,ABAY BANK S.C - ALEM BANK,,ADDIS ABABA,,,ET,+251 93 598 3291,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443447,moneygram,ABAY BANK S.C - MEKANISA ABO,,ADDIS ABABA,,,ET,+251 91 358 0745,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443395,moneygram,ABAY BANK S.C - DEJEN,,DEJEN,,,ET,+251 58 220 4587,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443353,moneygram,ABAY BANK S.C - SHALA,,ADDIS ABABA,,,ET,+251 93 036 2746,,Mo-Fr 08:00-21:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71443463,moneygram,ABAY BANK S.C - ALEM GENA,,`ALEM GENA,,,ET,+251 92 279 4008,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443450,moneygram,ABAY BANK S.C - LEBU MEDHANYALEM,,ADDIS ABABA,,,ET,+251 91 055 9372,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
71443340,moneygram,ABAY BANK S.C - IMPERIAL,,ADDIS ABABA,,,ET,11116291101,,Mo-Fr 08:00-21:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
71443421,moneygram,ABAY BANK S.C - AMEST KILO,,ADDIS ABABA,,,ET,+251 91 397 4851,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
67811504,moneygram,ABAY BANK SC - LEBU,,ADDIS ABABA,,,ET,+251 91 171 2554,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
