Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68342564,moneygram,AWASH BANK - AGONA CINEMA,,ADDIS ABABA,,,ET,+251 11 416 8575,,Mo-Sa 08:00-20:00; Su 00:00-24:00,MoneyGram,Q1944412
69300848,moneygram,AWASH INTERNATIONAL BANK S.C. - GOFA MEB,,ADDIS ABABA,,,ET,114703392,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69315914,moneygram,AWASH INTERNATIONAL BANK SC - MIKILILAND,,ADDIS ABABA,,,ET,112730341,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69315969,moneygram,AWASH INTERNATIONAL BANK SC - RUFAEL BRA,,ADDIS ABABA,,,ET,+251 11 259 1158,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69330520,moneygram,AWASH INTERNATIONAL BANK S.C. - JACKROS,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69371110,moneygram,AWASH INTERNATIONAL BANK S.C. - DE AFRIQ,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69371165,moneygram,AWASH INTERNATIONAL BANK S.C. - SOF UMER,,BALE ROBE,,,ET,+251 22 665 1699,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69371178,moneygram,AWASH INTERNATIONAL BANK S.C. - ETEYA BR,,ETEYA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69402872,moneygram,AWASH INTERNATIONAL BANK S.C. - SHAMBU B,,SHAMBU,,,ET,+251 57 666 0128,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69403318,moneygram,AWASH INTERNATIONAL BANK S.C. - MARAKI B,,GONDER,,,ET,582115081,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69436563,moneygram,AWASH INTERNATIONAL BANK S.C. - BAMBIS B,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69436589,moneygram,AWASH INTERNATIONAL BANK S.C. - ASASA BR,,ASASA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69436550,moneygram,AWASH INTERNATIONAL BANK S.C. - MILLENNI,,ADDIS ABABA,,,ET,+251 11 661 1056,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69436547,moneygram,AWASH INTERNATIONAL BANK S.C. - ADEY ABE,,ADDIS ABABA,,,ET,114707735,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69436592,moneygram,AWASH INTERNATIONAL BANK S.C. - BUTAJIRA,,BUTAJIRA,,,ET,461151028,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69477755,moneygram,AWASH INTERNATIONAL BANK S.C. - MOENCO B,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69477768,moneygram,AWASH INTERNATIONAL BANK S.C. - AKAKI GE,,GELAN,,,ET,114716503,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69477771,moneygram,AWASH INTERNATIONAL BANK S.C. - LOGYA BR,,LOGYA,,,ET,+251 33 550 0060,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69557280,moneygram,AWASH INTERNATIONAL BANK S.C. - GOJAM BE,,ADDIS ABABA,,,ET,+251 11 126 8345,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69557293,moneygram,AWASH INTERNATIONAL BANK S.C. - AKAKI KA,,ADDIS ABABA,,,ET,114716440,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69557329,moneygram,AWASH INTERNATIONAL BANK S.C. - BOLE 17,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69685233,moneygram,AWASH INTERNATIONAL BANK S.C. - YERER BR,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69685848,moneygram,AWASH INTERNATIONAL BANK SC - HAYAT ADEB,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69686258,moneygram,AWASH INTERNATIONAL BANK SC - BURAYU KET,,BURYU,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235380,moneygram,AWASH INTERNATIONAL BANK S.C. - ANGETU,,ANGETU,,,ET,+251 22 668 0521,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235351,moneygram,AWASH INTERNATIONAL BANK S.C. - ARSI SIR,,SIRE,,,ET,+251 22 330 0757,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235364,moneygram,AWASH INTERNATIONAL BANK S.C. - BALCHI,,BALCH'I,,,ET,116730406,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235542,moneygram,AWASH INTERNATIONAL BANK S.C. - BEDENO,,BEDENO,,,ET,+251 25 332 0681,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235445,moneygram,AWASH INTERNATIONAL BANK S.C. - BELAY ZE,,BAHIR DAR,,,ET,585565765,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235665,moneygram,AWASH INTERNATIONAL BANK S.C. - BOLE ABA,,ADDIS ABABA,,,ET,116674448,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235652,moneygram,AWASH INTERNATIONAL BANK S.C. - DABE SOL,,ADAMA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235416,moneygram,AWASH INTERNATIONAL BANK S.C. - DEMBECHA,,DEMBECH'A,,,ET,+251 58 773 0853,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235607,moneygram,AWASH INTERNATIONAL BANK S.C. - DENGEL,,BAHIR DAR,,,ET,115571437,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235283,moneygram,AWASH INTERNATIONAL BANK S.C. - DIKSIS,,ADAMA,,,ET,+251 22 339 0555,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235377,moneygram,AWASH INTERNATIONAL BANK S.C. - DIRE SOL,,BURAYU,,,ET,112623426,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235487,moneygram,AWASH INTERNATIONAL BANK S.C. - DONI,,DONI,,,ET,222456898,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235597,moneygram,AWASH INTERNATIONAL BANK S.C. - DOSHA,,DOSHA,,,ET,222382612,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235500,moneygram,AWASH INTERNATIONAL BANK S.C. - ERESHA,,BUTAJIRA,,,ET,461459687,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235571,moneygram,AWASH INTERNATIONAL BANK S.C. - GIMBICHU,,HADIYA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235513,moneygram,AWASH INTERNATIONAL BANK S.C. - GORE,,GORE,,,ET,+251 47 554 1321,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235254,moneygram,AWASH INTERNATIONAL BANK S.C. - GORO KER,,HOLETA,,,ET,112610237,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235306,moneygram,AWASH INTERNATIONAL BANK S.C. - HARATO,,HARETO,,,ET,571180596,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235610,moneygram,AWASH INTERNATIONAL BANK S.C. - HARO DEM,,BATU,,,ET,115571437,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235539,moneygram,AWASH INTERNATIONAL BANK S.C. - HAWASSA,,HAWASSA,,,ET,462126597,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235429,moneygram,AWASH INTERNATIONAL BANK S.C. - HOMECHO,,HOMECHO,,,ET,462510657,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235267,moneygram,AWASH INTERNATIONAL BANK S.C. - HORA BIS,,BISHOFTU,,,ET,114300587,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235526,moneygram,AWASH INTERNATIONAL BANK S.C. - HURUMU,,HURUMU,,,ET,+251 47 446 0565,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235584,moneygram,AWASH INTERNATIONAL BANK S.C. - IKRAM,,ASSASA,,,ET,+251 22 336 0980,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235319,moneygram,AWASH INTERNATIONAL BANK S.C. - JITU,,JITU,,,ET,576330614,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235458,moneygram,AWASH INTERNATIONAL BANK S.C. - KELA,,KELA,,,ET,115478972,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235403,moneygram,AWASH INTERNATIONAL BANK S.C. - KOSO BER,,INJIBARA,,,ET,+251 58 227 7060,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235649,moneygram,AWASH INTERNATIONAL BANK S.C. - KOTEBE L,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235568,moneygram,AWASH INTERNATIONAL BANK S.C. - KOYEFECH,,ADDIS ABABA,,,ET,118553649,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235335,moneygram,AWASH INTERNATIONAL BANK S.C. - LEKU,,LEKU,,,ET,+251 11 213 5646,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235393,moneygram,AWASH INTERNATIONAL BANK S.C. - LOMI MED,,ADDIS ABABA,,,ET,112738014,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235474,moneygram,AWASH INTERNATIONAL BANK S.C. - MEHAL SU,,ADDIS ABABA,,,ET,+251 11 647 6275,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235348,moneygram,AWASH INTERNATIONAL BANK S.C. - SEKAKALO,,ADAMA,,,ET,222118796,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235461,moneygram,AWASH INTERNATIONAL BANK S.C. - SHOLLA G,,ADDIS ABABA,,,ET,115587898,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235432,moneygram,AWASH INTERNATIONAL BANK S.C. - SILK AMB,,SILK AMBA,,,ET,+251 11 467 1297,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235623,moneygram,AWASH INTERNATIONAL BANK S.C. - TEQWA,,DODOLA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235322,moneygram,AWASH INTERNATIONAL BANK S.C. - UTA WAYU,,UTA WAYU,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235636,moneygram,AWASH INTERNATIONAL BANK S.C. - VATICAN,,ADDIS ABABA,,,ET,115571437,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235296,moneygram,AWASH INTERNATIONAL BANK S.C. - WARA JAR,,WARA JARSO,,,ET,+251 11 187 0710,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74235270,moneygram,AWASH INTERNATIONAL BANK S.C. - YERER LE,,ADDIS ABABA,,,ET,116733824,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257973,moneygram,AWASH INTERNATIONAL BANK S.C. - AMANUEL,,AMANUEL,,,ET,+251 58 771 7389,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257960,moneygram,AWASH INTERNATIONAL BANK S.C. - CHEFA RO,,CHEFA ROBIT,,,ET,+251 33 664 1986,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257944,moneygram,AWASH INTERNATIONAL BANK S.C. - FONKO,,FONKO,,,ET,461804959,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257999,moneygram,AWASH INTERNATIONAL BANK S.C. - ICT INDU,,ADDIS ABABA,,,ET,+251 11 646 1231,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257986,moneygram,AWASH INTERNATIONAL BANK S.C. - MARARO,,MARARRO,,,ET,461160127,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74257957,moneygram,AWASH INTERNATIONAL BANK S.C. - MEKOY,,MEKOY,,,ET,116375061,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74276190,moneygram,AWASH INTERNATIONAL BANK S.C. - ADAMA IN,,ADAMA,,,ET,222125987,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74276200,moneygram,AWASH INTERNATIONAL BANK S.C. - SOKORU,,SOKORU,,,ET,+251 47 111 5976,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74276213,moneygram,AWASH INTERNATIONAL BANK S.C. - WORLD BA,,ADDIS ABABA,,,ET,116662825,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69315888,moneygram,AWASH INTERNATIONAL BANK SC - NEDJO BRAN,,NEDJO,,,ET,+251 57 774 0287,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
69796889,moneygram,AWASH INTERNATIONAL BANK S.C. - KARA ALO,,ADDIS ABABA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354847,moneygram,AWASH INTERNATIONAL BANK S.C. - ABDI NON,,BURAYU,,,ET,112601540,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355011,moneygram,AWASH INTERNATIONAL BANK S.C. - ABUWARE,,ADDIS ABABA,,,ET,115576901,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354889,moneygram,AWASH INTERNATIONAL BANK S.C. - ANSAR,,BALE ROBE,,,ET,+251 22 665 3117,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354850,moneygram,AWASH INTERNATIONAL BANK S.C. - BILO,,SULULTA,,,ET,111617129,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355163,moneygram,AWASH INTERNATIONAL BANK S.C. - BOJI DIR,,BILA,,,ET,575589878,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355082,moneygram,AWASH INTERNATIONAL BANK S.C. - BURAYU,,BURAYU,,,ET,112604981,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354902,moneygram,AWASH INTERNATIONAL BANK S.C. - DELO SEB,,DELO SEBRO,,,ET,+251 22 665 1700,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354892,moneygram,AWASH INTERNATIONAL BANK S.C. - DIMTU,,DIMTU,,,ET,+251 46 443 0121,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354944,moneygram,AWASH INTERNATIONAL BANK S.C. - EMDIBIR,,EMDIBIR,,,ET,113658169,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355121,moneygram,AWASH INTERNATIONAL BANK S.C. - GEFERE,,GIMBI,,,ET,+251 57 771 0066,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355024,moneygram,AWASH INTERNATIONAL BANK S.C. - GIDOLE,,GIDOLE,,,ET,+251 47 227 0593,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354960,moneygram,AWASH INTERNATIONAL BANK S.C. - GORO ADE,,ADDIS ABABA,,,ET,116726642,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355134,moneygram,AWASH INTERNATIONAL BANK S.C. - GUDATU M,,MECHARA,,,ET,255570561,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355079,moneygram,AWASH INTERNATIONAL BANK S.C. - HURUFA F,,LEGETAFO,,,ET,116375110,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354973,moneygram,AWASH INTERNATIONAL BANK S.C. - JAHAN SA,,DEMBI DOLO,,,ET,475572020,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354876,moneygram,AWASH INTERNATIONAL BANK S.C. - JIDA,,JIDA,,,ET,112609672,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355095,moneygram,AWASH INTERNATIONAL BANK S.C. - KEBIR,,CHEFA ROBIT,,,ET,+251 33 664 1986,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354999,moneygram,AWASH INTERNATIONAL BANK S.C. - KORE,,KORE,,,ET,461160127,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354986,moneygram,AWASH INTERNATIONAL BANK S.C. - LALO KIL,,LELO KILE,,,ET,+251 57 661 7092,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355066,moneygram,AWASH INTERNATIONAL BANK S.C. - LEBU MUS,,ADDIS ABABA,,,ET,114712495,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355147,moneygram,AWASH INTERNATIONAL BANK S.C. - MEHAL AM,,MEHAL AMBA,,,ET,113658384,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354928,moneygram,AWASH INTERNATIONAL BANK S.C. - MEHAL KA,,ADDIS ABABA,,,ET,115621444,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355008,moneygram,AWASH INTERNATIONAL BANK S.C. - MEHAL KO,,ADDIS ABABA,,,ET,+251 11 647 5400,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355105,moneygram,AWASH INTERNATIONAL BANK S.C. - MELKA JE,,MELKA JEBDU,,,ET,+251 25 111 4042,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354931,moneygram,AWASH INTERNATIONAL BANK S.C. - MELKA LE,,MODJO,,,ET,222115247,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355040,moneygram,AWASH INTERNATIONAL BANK S.C. - MERKATO,,ADDIS ABABA,,,ET,112733598,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354863,moneygram,AWASH INTERNATIONAL BANK S.C. - MIDA,,MERAGNA,,,ET,585499988,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355037,moneygram,AWASH INTERNATIONAL BANK S.C. - MUDULA,,MUDULA,,,ET,+251 46 551 2424,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354957,moneygram,AWASH INTERNATIONAL BANK S.C. - ODA BOQO,,MEKI,,,ET,114712504,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355150,moneygram,AWASH INTERNATIONAL BANK S.C. - OMONADA,,JIMMA,,,ET,+251 47 111 1292,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74354915,moneygram,AWASH INTERNATIONAL BANK S.C. - SAWENA,,MICHA,,,ET,222441068,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355053,moneygram,AWASH INTERNATIONAL BANK S.C. - SOST KUT,,ADDIS ABABA,,,ET,+251 11 275 7235,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74355118,moneygram,AWASH INTERNATIONAL BANK S.C. - WABI,,JIJIGA,,,ET,+251 25 775 2540,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255102,moneygram,AWASH INTERNATIONAL BANK S.C. - ADAMA -,,ADAMA,,,ET,222120390,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255131,moneygram,AWASH INTERNATIONAL BANK S.C. - ADDIS AB,,ADDIS ABEBA,,,ET,115570140,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255115,moneygram,AWASH INTERNATIONAL BANK S.C. - ADDIS AB,,ADDIS ABEBA,,,ET,+251 11 126 0997,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255704,moneygram,AWASH INTERNATIONAL BANK S.C. - HAROMAYA,,HAROMAYA,,,ET,+251 25 661 0467,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255717,moneygram,AWASH INTERNATIONAL BANK S.C. - GEFERSA,,GEFERSA NONO,,,ET,112601117,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255759,moneygram,AWASH INTERNATIONAL BANK S.C. - ADDIS AB,,ADDIS ABEBA,,,ET,112732752,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
70255694,moneygram,AWASH INTERNATIONAL BANK S.C. - ADDIS AB,,ADDIS ABABA,,,ET,115570112,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74561193,moneygram,AWASH INTERNATIONAL BANK S.C. - AKAKI 08,,ADDIS ABABA,,,ET,114797949,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74561290,moneygram,AWASH INTERNATIONAL BANK S.C. - BABICHA,,BABICHA,,,ET,+251 57 227 0159,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
