Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
CN0060,hm,Xining City Mall,,Xining,,,CN,,,Mo-Su 10:00-22:00,H&M,Q188326
66826244,moneygram,BOC - #16811 - QHXN YANHUXIANGKOU SUB-BR,,XINING,,,CN,+86 971 630 1312,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826396,moneygram,BOC - #16849 - QHXN GUCHENGTAI SUB-BRANC,,XINING,,,CN,+86 971 611 8369,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826406,moneygram,BOC - #16825 - QHXN YANGJIAZHUANG SUB-BR,,XINING,,,CN,+86 971 814 4634,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826419,moneygram,BOC - #16823 - QHXN WEIMINXIANG SUB-BRAN,,XINING,,,CN,+86 971 817 7394,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826448,moneygram,BOC - #16810 - QHXN HAIYANLU SUB-BRANCH,,XINING,,,CN,+86 971 630 3883,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826451,moneygram,BOC - #16812 - QHXN YANGJIAZHAI SUB-BRAN,,XINING,,,CN,+86 971 611 0963,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826464,moneygram,BOC - #16828 - QHXN XIAOQIAO DAJIE SUB-B,,XINING,,,CN,+86 971 513 0079,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826477,moneygram,BOC - #16855 - QHXN DONGGUAN SUB-BRANCH,,XINING,,,CN,+86 971 814 4427,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826480,moneygram,BOC - #16822 - QHXN GONGHELU SUB-BRANCH,,XINING,,,CN,+86 971 817 5632,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826493,moneygram,BOC - #16824 - QHXN JINGJI KAIFAQU SUB-B,,XINING,,,CN,+86 971 817 5311,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826503,moneygram,BOC - #16818 - QHXN NANDAJIE SUB-BRANCH,,XINING,,,CN,+86 971 823 7679,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826532,moneygram,BOC - #16831 - QHXN DASHIZI SUB-BRANCH,,XINING,,,CN,+86 971 821 7502,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826574,moneygram,BOC - #16813 - QHXN SHENGLILU SUB-BRANCH,,XINING,,,CN,+86 971 611 0963,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826587,moneygram,BOC - #16857 - QHXN  WUSI SUB-BRANCH,,XINING,,,CN,+86 971 610 8658,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826590,moneygram,BOC - #16830 - QHXN SHANGYEXIANG SUB-BRA,,XINING,,,CN,+86 971 614 6692,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826600,moneygram,BOC - #16802 - QHXN HUANGHELU SUB-BRANCH,,XINING,,,CN,+86 971 613 2920,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826613,moneygram,BOC - #16804 - QHXN LENGHULU SUB-BRANCH,,XINING,,,CN,+86 971 615 0367,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826626,moneygram,BOC - #16805 - QHXN TONGRENLU SUB-BRANCH,,XINING,,,CN,+86 971 615 8305,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826639,moneygram,BOC - #16853 - QHXN CHENGZHONG SUBBRANCH,,XINING,,,CN,+86 971 826 6175,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826642,moneygram,BOC - #16816 - QHXN NANGUANJIE SUB-BRANC,,XINING,,,CN,+86 971 823 8300,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826655,moneygram,BOC - #16815 - QHXN QIYILU SUB-BRANCH,,XINING,,,CN,+86 971 845 7363,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
66826529,moneygram,BOC - #16820 - QHXN XIMENKOU SUB-BRANCH,,XINING,,,CN,+86 971 821 2716,,Mo-Fr 09:00-16:30; Sa-Su 09:30-16:00,MoneyGram,Q1944412
