Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68458571,moneygram,SAIGONBANK - #95 - DISTRICT 5 TRANSACTIO,,DISTRICT 5,,,VN,+84 28 3856 4987,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
70995530,moneygram,HDBANK - #012 - HO CHI MINH CITY - PHU L,,HO CHI MINH CITY,,,VN,+84 28 3752 2054,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995543,moneygram,HDBANK - #056 - HO CHI MINH CITY - BINH,,HO CHI MINH CITY,,,VN,+84 28 3758 2884,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995556,moneygram,HDBANK - #076 - HO CHI MINH CITY - THAI,,HO CHI MINH CITY,,,VN,+84 28 3994 0295,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995585,moneygram,HDBANK - #014 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 3989 7270,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995611,moneygram,HDBANK - #031 - HO CHI MINH CITY - DUY T,,HO CHI MINH CITY,,,VN,+84 28 3820 2849,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995624,moneygram,HDBANK - #086 - HO CHI MINH CITY - TRUON,,HO CHI MINH CITY,,,VN,+84 28 3592 1838,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995637,moneygram,HDBANK - #011 - HO CHI MINH CITY - TP. H,,HO CHI MINH CITY,,,VN,+84 28 3975 3644,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995640,moneygram,HDBANK - #060 - HO CHI MINH CITY - PHAN,,HO CHI MINH CITY,,,VN,+84 28 3985 6769,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995653,moneygram,HDBANK - #089 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 3718 6347,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995679,moneygram,HDBANK - #087 - HO CHI MINH CITY - LE TR,,HO CHI MINH CITY,,,VN,+84 28 3816 1848,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995705,moneygram,HDBANK - #041 - HO CHI MINH CITY - LINH,,HO CHI MINH CITY,,,VN,+84 28 3729 6192,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995718,moneygram,HDBANK - #092 - HO CHI MINH - THAO DIEN,,HO CHI MINH,,,VN,+84 28 6287 0515,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995721,moneygram,HDBANK - #083 - HO CHI MINH CITY - PHUOC,,HO CHI MINH CITY,,,VN,+84 28 6282 6315,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995747,moneygram,HDBANK - #168 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 6266 6111,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995750,moneygram,HDBANK - #169 - HO CHI MINH CITY - HANG,,HO CHI MINH CITY,,,VN,+84 28 3512 8644,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995776,moneygram,HDBANK - #176 - HO CHI MINH CITY - HOANG,,HO CHI MINH CITY,,,VN,+84 28 5449 2201,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995802,moneygram,HDBANK - #184 - HO CHI MINH CITY - THU D,,HO CHI MINH CITY,,,VN,+84 28 5409 4260,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995828,moneygram,HDBANK - #172 - HO CHI MINH CITY - GIA D,,HO CHI MINH CITY,,,VN,+84 28 5405 0666,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995844,moneygram,HDBANK - #175 - HO CHI MINH CITY - BINH,,HO CHI MINH CITY,,,VN,+84 28 5434 2312,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995860,moneygram,HDBANK - #177 - HO CHI MINH CITY - TAN B,,HO CHI MINH CITY,,,VN,+84 28 5434 2342,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995608,moneygram,HDBANK - #064 - HO CHI MINH CITY - AU CO,,HO CHI MINH CITY,,,VN,+84 28 3975 3565,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995912,moneygram,HDBANK - #039 - LONG AN - LONG HAU,,LONG AN,,,VN,+84 28 3873 4243,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995763,moneygram,HDBANK - #174 - HO CHI MINH CITY - GO VA,,HO CHI MINH CITY,,,VN,+84 28 3987 2826,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995404,moneygram,HDBANK - #080 - HO CHI MINH - DINH BO LI,,HO CHI MINH,,,VN,+84 28 3899 8153,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995336,moneygram,HDBANK - #030 - HO CHI MINH CITY - PHU M,,HO CHI MINH CITY,,,VN,+84 28 5412 2734,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995462,moneygram,HDBANK - #004 - HO CHI MINH - NGUYEN TRA,,HO CHI MINH,,,VN,+84 28 3836 3522,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995446,moneygram,HDBANK - #082 - HO CHI MINH CITY - MINH,,HO CHI MINH CITY,,,VN,+84 28 3969 9880,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995297,moneygram,HDBANK - #045 - HO CHI MINH CITY - SAI G,,HO CHI MINH CITY,,,VN,+84 28 3829 9344,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995815,moneygram,HDBANK - #015 - HO CHI MINH CITY - BINH,,HO CHI MINH CITY,,,VN,+84 28 3512 5231,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995873,moneygram,HDBANK - #178 - HO CHI MINH CITY - TA UY,,HO CHI MINH CITY,,,VN,+84 28 5405 2052,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995491,moneygram,HDBANK - #088 - HO CHI MINH CITY - NAM S,,HO CHI MINH CITY,,,VN,+84 28 3852 1638,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995598,moneygram,HDBANK - #055 - HO CHI MINH CITY - TAN P,,HO CHI MINH CITY,,,VN,+84 28 3847 3270,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995349,moneygram,HDBANK - #085 - HO CHI MINH CITY - KHANH,,HO CHI MINH CITY,,,VN,+84 28 3943 5870,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995695,moneygram,HDBANK - #038 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 6280 7035,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995666,moneygram,HDBANK - #053 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 3972 1950,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995459,moneygram,HDBANK - #054 - HO CHI MINH CITY - HOA H,,HO CHI MINH CITY,,,VN,+84 28 3868 3230,,Mo-Fr 07:30-16:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995417,moneygram,HDBANK - #003 - HO CHI MINH CITY - LANH,,HO CHI MINH CITY,,,VN,+84 28 3962 7407,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995831,moneygram,HDBANK - #173 - HO CHI MINH CITY - KHU N,,HO CHI MINH CITY,,,VN,+84 28 5412 3463,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995682,moneygram,HDBANK - #008 - HO CHI MINH CITY - HIEP,,HO CHI MINH CITY,,,VN,+84 28 3730 9616,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995569,moneygram,HDBANK - #077 - HO CHI MINH CITY - LE VA,,HO CHI MINH CITY,,,VN,28839918984,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995433,moneygram,HDBANK - #029 - HO CHI MINH CITY - LAC L,,HO CHI MINH CITY,,,VN,+84 28 3963 7053,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995789,moneygram,HDBANK - #180 - HO CHI MINH CITY - NGUYE,,HO CHI MINH CITY,,,VN,+84 28 5402 7814,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995734,moneygram,HDBANK - #059 - HO CHI MINH CITY - DONG,,HO CHI MINH CITY,,,VN,+84 28 3740 2407,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995572,moneygram,HDBANK - #006 - HO CHI MINH CITY - CONG,,HO CHI MINH CITY,,,VN,+84 28 3812 3750,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995792,moneygram,HDBANK - #181 - HO CHI MINH CITY - HOANG,,HO CHI MINH CITY,,,VN,+84 28 3943 5680,,Mo-Fr 07:30-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70995886,moneygram,HDBANK - #182 - HO CHI MINH CITY - TRUON,,HO CHI MINH CITY,,,VN,+84 28 3838 5131,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
43569142,moneygram,SAIGONBANK - #17 - AN DONG TRANSACTION O,,DISTRICT 5,,,VN,+84 28 3833 5406,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43652363,moneygram,SAIGONBANK - #20 - BINH DANG TRANSACTION,,DISTRICT 8,,,VN,+84 28 3981 9500,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299648,moneygram,SAIGONBANK - #12 - TAN BINH BRANCH,,TAN BINH,,,VN,+84 28 3865 1505,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
41517811,moneygram,SAIGONBANK - #03 - BINH CHANH BRANCH,,BINH TAN,,,VN,+84 28 3751 5663,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299651,moneygram,SAIGONBANK - #14 - THAI BINH BRANCH,,DISTRICT 1,,,VN,+84 28 3836 8188,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43569139,moneygram,SAIGONBANK - #16 - DISTRICT 7 BRANCH,,DISTRICT 7,,,VN,+84 28 5413 8975,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43452466,moneygram,SAIGONBANK - #11 - KY HOA TRANSACTION OF,,DISTRICT 10,,,VN,+84 28 3863 4930,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299664,moneygram,SAIGONBANK - #05 - CHO LON BRANCH,,DISTRICT 5,,,VN,+84 28 3855 8125,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43452482,moneygram,SAIGONBANK - #07 - GO VAP TRANSACTION OF,,GO VAP,,,VN,+84 28 3588 1138,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299635,moneygram,SAIGONBANK - #01 - BA CHIEU BRANCH,,BINH THANH,,,VN,+84 28 3841 2508,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
40299680,moneygram,SAIGONBANK - #09 - HEAD OFFICE,,DISTRICT 1,,,VN,+84 28 3914 3183,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43790283,moneygram,SAIGONBANK - #22 - BEN THANH TRANSACTION,,DISTRICT 1,,,VN,+84 28 3914 1537,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44069463,moneygram,SAIGONBANK - #29 - TAN DINH BRANCH,,DISTRICT 1,,,VN,+84 28 3848 4891,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44482590,moneygram,SAIGONBANK - #55 - DISTRICT 8 TRANSACTIO,,DISTRICT 8,,,VN,+84 28 3851 0887,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44779326,moneygram,SAIGONBANK - #57 - BINH HOA BRANCH,,BINH THANH,,,VN,+84 28 3516 5831,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44779355,moneygram,SAIGONBANK - #58 - KHANH HOI BRANCH,,DISTRICT 4,,,VN,+84 28 3943 4905,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
44779368,moneygram,SAIGONBANK - #59 - TAN PHU BRANCH,,TAN PHU,,,VN,+84 28 3812 5609,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
45071256,moneygram,SAIGONBANK - #44 - 3/2 BRANCH,,DISTRICT 11,,,VN,+84 28 3960 1125,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
45071272,moneygram,SAIGONBANK - #43 - DISTRICT 1 TRANSACTIO,,DISTRICT 1,,,VN,+84 28 3820 0419,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43569113,moneygram,SAIGONBANK - #15 - PHU THO TRANSACTION O,,TAN BINH,,,VN,+84 28 3866 6094,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
64368212,moneygram,SAIGONBANK - #39 - DISTRICT 2 TRANSACTIO,,DISTRICT 2,,,VN,+84 28 3743 7991,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
65273212,moneygram,SAIGONBANK - #66 - THU DUC TRANSACTION -,,THU DUC,,,VN,+84 28 3722 5852,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
65679764,moneygram,SAIGONBANK - #68 - HOA BINH TRANSACTION,,TAN BINH,,,VN,+84 28 3978 3758,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
43452437,moneygram,SAIGONBANK - #13 - PHU THO HOA TRANSACTI,,TAN PHU,,,VN,+84 28 3978 6058,,Mo-Sa 07:30-16:30; Su 00:00-24:00,MoneyGram,Q1944412
68181110,moneygram,SAIGONBANK - #94 - DISTRICT 12 TRANSACTI,,DISTRICT 12,,,VN,+84 28 3719 0041,,Mo-Fr 07:30-16:30; Sa 07:30-12:00; Su 00:00-24:00,MoneyGram,Q1944412
