Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65e335c0ac304155b890f15f,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Aachen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Aachen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f15c,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Ratingen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Ratingen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f192,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Pulheim,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Pulheim,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f196,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Olpe,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Olpe,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f159,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Neuss,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Neuss,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a3,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,MÃ¶nchengladbach,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%B6nchengladbach-Rheydt,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a2,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,MÃ¶nchengladbach,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/M%C3%B6nchengladbach,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f15b,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Mettmann,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Mettmann,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f15d,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Meerbusch,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Meerbusch,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f195,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Leverkusen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Leverkusen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1ad,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Langenfeld,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Langenfeld,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0c3,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln-Unter%20Sachsenhausen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f190,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln-Rodenkirchen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18f,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln-Nippes,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18b,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln-Kalk,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18c,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln-Chlodwigplatz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18a,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,KÃ¶ln,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/K%C3%B6ln,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a6,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Krefeld,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Krefeld,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f158,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Kaarst,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Kaarst,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f161,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,JÃ¼lich,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/J%C3%BClich,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f156,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Hilden,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Hilden,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0c5,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Heinsberg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Heinsberg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f157,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Haan,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Haan,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f197,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Gummersbach,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Gummersbach,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1b0,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Gevelsberg,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Gevelsberg,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f0c4,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Geilenkirchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Geilenkirchen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f193,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Frechen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Frechen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a0,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Euskirchen,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Euskirchen,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f162,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Eschweiler,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Eschweiler,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f1a4,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Erkelenz,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Erkelenz,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f154,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf-Zoo,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f151,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf-Oberkassel,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f153,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf-Nordstra%C3%9Fe,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f152,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf-Kaiserswerth,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f15a,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf-Benrath,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f150,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,DÃ¼sseldorf,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCsseldorf,Mo 10:00-16:00; Tu 10:00-18:00; We 10:00-16:00; Th 10:00-18:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f160,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,DÃ¼ren,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/D%C3%BCren,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18e,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,BrÃ¼hl,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Br%C3%BChl,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f19d,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Bonn,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bonn,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f18d,commerzbank_de,BFIL - Beratungsfiliale mit Kasse,,Bergisch Gladbach,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bergisch%20Gladbach,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f194,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Bergheim,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bergheim,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
65e335c0ac304155b890f19e,commerzbank_de,UVV19-Beratungsfiliale ohne Kasse UVV19,,Bad Honnef,,,DE,+49 69 580008000,https://filialsuche.commerzbank.de/de/branch-name/Bad%20Honnef,Mo-Th 10:00-13:00; Fr 10:00-14:00,Commerzbank,Q157617
