Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
65717451,moneygram,BOC - #13622 - GDZJ WENMING RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 7554,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717817,moneygram,BOC - #13620 - GDZJ NANYOUWUQU SUBBRANCH,,ZHANJIANG,,,CN,+86 759 395 3805,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717833,moneygram,BOC - #13641 - GDZJ WUCHUAN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 556 5551,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717859,moneygram,BOC - #13642 - GDZJ WUCHUAN JIEFANG RD S,,ZHANJIANG,,,CN,+86 759 556 5561,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717888,moneygram,BOC - #13626 - GDZJ LUTANG SUBBRANCH,,ZHANJIANG,,,CN,+86 759 230 0075,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717891,moneygram,BOC - #13627 - GDZJ RENMING W RD SUBBRAN,,ZHANJIANG,,,CN,+86 759 221 4041,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717901,moneygram,BOC - #13613 - GDZJ LINGNAN RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 220 1055,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717914,moneygram,BOC - #13619 - GDZJ JINGDI SUBBRANCH,,ZHANJIANG,,,CN,+86 759 226 0156,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717927,moneygram,BOC - #13621 - GDZJ TAIXIN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 221 5157,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717930,moneygram,BOC - #13624 - GDZJ NANZHAN SUBBRANCH,,ZHANJIANG,,,CN,8675921299985,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717956,moneygram,BOC - #13618 - GDZJ HAIJING RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 211 3334,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717969,moneygram,BOC - #13625 - GDZJ LUCUN SUBBRANCH,,ZHANJIANG,,,CN,+86 759 262 3235,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717972,moneygram,BOC - #13623 - GDZJ HAIBING RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 329 5100,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717985,moneygram,BOC - #13610 - GDZJ XIN'GANG SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 9534,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65717998,moneygram,BOC - #13611 - GDZJ JIEFANG E RD SUBBRAN,,ZHANJIANG,,,CN,+86 759 222 7674,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718010,moneygram,BOC - #13612 - GDZJ HAIJING RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 211 3870,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718023,moneygram,BOC - #13616 - GDZJ JINXIUHUAJING SUBBRA,,ZHANJIANG,,,CN,+86 759 329 9927,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718036,moneygram,BOC - #13634 - GDZJ YAN'AN RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 8257,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718049,moneygram,BOC - #13614 - GDZJ JIANXIN RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 222 8804,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718052,moneygram,BOC - #13615 - GDZJ HONGXIANGHUAYUAN SUB,,ZHANJIANG,,,CN,+86 759 260 1319,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718175,moneygram,BOC - #13631 - GDZJ ZHONGSHAN RD SUBBRAN,,ZHANJIANG,,,CN,+86 759 333 4184,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718188,moneygram,BOC - #13633 - GDZJ XINGFU RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 333 4441,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718191,moneygram,BOC - #13824 - GDZJ KANGSHUN RD SUBBRANC,,ZHANJIANG,,,CN,+86 759 333 7973,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718201,moneygram,BOC - #13635 - GDZJ BAIYUAN RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 319 0045,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
65718081,moneygram,BOC - #13629 - GDZJ CUNJIN RD SUBBRANCH,,ZHANJIANG,,,CN,+86 759 333 4204,,Mo-Fr 09:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
