Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
71741233,moneygram,DIACONIA FRIF-IFD - EL ALTO - JUAN PABLO,,EL ALTO,,,BO,2841227,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742041,moneygram,DIACONIA FRIF-IFD - EL ALTO - VENTILLA,,EL ALTO,,,BO,+591 71532644,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741699,moneygram,DIACONIA FRIF-IFD - EL ALTO - VILLA BOLI,,EL ALTO,,,BO,2852720,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741738,moneygram,DIACONIA FRIF-IFD - GUAQUI - GUAQUI,,GUAQUI,,,BO,+591 71532637,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742135,moneygram,DIACONIA FRIF-IFD - HUANUNI - HUANUNI,,HUANUNI,,,BO,+591 71532648,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741893,moneygram,DIACONIA FRIF-IFD - IXIAMAS - IXIAMAS,,IXIAMAS,,,BO,+591 71532650,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741916,moneygram,DIACONIA FRIF-IFD - VIACHA - JESUS DE MA,,VIACHA,,,BO,+591 68225265,,Mo-Fr 08:00-16:00; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
71742070,moneygram,DIACONIA FRIF-IFD - LA PAZ - CEMENTERIO,,LA PAZ,,,BO,+591 71532640,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741709,moneygram,DIACONIA FRIF-IFD - LA PAZ - CHASQUIPAMP,,LA PAZ,,,BO,2790127,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742067,moneygram,DIACONIA FRIF-IFD - LA PAZ - CIUDADELA F,,LA PAZ,,,BO,2301380,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742164,moneygram,DIACONIA FRIF-IFD - LA PAZ - OBRAJES,,LA PAZ,,,BO,+591 72040682,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741990,moneygram,DIACONIA FRIF-IFD - LA PAZ - TEMBLADERAN,,LA PAZ,,,BO,2494103,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741796,moneygram,DIACONIA FRIF-IFD - LA PAZ - TUMUSLA,,LA PAZ,,,BO,2455110,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741741,moneygram,DIACONIA FRIF-IFD - LA PAZ - VILLA COPAC,,LA PAZ,,,BO,2238990,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741754,moneygram,DIACONIA FRIF-IFD - LA PAZ - VILLA FATIM,,LA PAZ,,,BO,2212984,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741987,moneygram,DIACONIA FRIF-IFD - LA PAZ - VINO TINTO,,LA PAZ,,,BO,2292484,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742180,moneygram,DIACONIA FRIF-IFD - LLALLAGUA - LLALLAGU,,LLALLAGUA,,,BO,+591 67010421,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742245,moneygram,DIACONIA FRIF-IFD - ORURO - MERCADO YOUN,,ORURO,,,BO,+591 72450975,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741835,moneygram,DIACONIA FRIF-IFD - ORURO - SUC ORURO,,ORURO,,,BO,5283378,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742083,moneygram,DIACONIA FRIF-IFD - ORURO - TAGARETE,,ORURO,,,BO,+591 71532641,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741673,moneygram,DIACONIA FRIF-IFD - PALOS BLANCOS - PALO,,PALOS BLANCOS,,,BO,2136415,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742038,moneygram,DIACONIA FRIF-IFD - POTOSI - POTOSI,,POTOSI,,,BO,+591 71532647,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742229,moneygram,DIACONIA FRIF-IFD - POTOSI - POTOSI,,POTOSI,,,BO,+591 73422663,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742151,moneygram,DIACONIA FRIF-IFD - PUCARANI - PUCARANI,,PUCARANI,,,BO,+591 71532620,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741880,moneygram,DIACONIA FRIF-IFD - PUERTO PEREZ - PUERT,,PUERTO PEREZ,,,BO,+591 71532652,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742096,moneygram,DIACONIA FRIF-IFD - QUILLACOLLO - QUILLA,,QUILLACOLLO,,,BO,4543490,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741932,moneygram,DIACONIA FRIF-IFD - RURRENABAQUE - RURRE,,RURRENABAQUE,,,BO,8922871,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741770,moneygram,DIACONIA FRIF-IFD - SAN BORJA - SAN BORJ,,SAN BORJA,,,BO,8952049,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741864,moneygram,DIACONIA FRIF-IFD - SAN BUENA VENTURA -,,SAN BUENA VENTURA,,,BO,+591 71532655,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742119,moneygram,DIACONIA FRIF-IFD - SANTA CRUZ - LA RAMA,,SANTA CRUZ,,,BO,+591 71532659,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742216,moneygram,DIACONIA FRIF-IFD - SANTA CRUZ - PLAN 30,,SANTA CRUZ,,,BO,+591 71532654,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741929,moneygram,DIACONIA FRIF-IFD - SORATA - SORATA,,SORATA,,,BO,+591 71532657,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741767,moneygram,DIACONIA FRIF-IFD - SUCRE - MORRO,,SUCRE,,,BO,6468880,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741903,moneygram,DIACONIA FRIF-IFD - SUCRE - SUCRE,,SUCRE,,,BO,6458820,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742106,moneygram,DIACONIA FRIF-IFD - TARIJA - TARIJA,,TARIJA,,,BO,6634786,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741877,moneygram,DIACONIA FRIF-IFD - TIAHUANACU - TIAHUAN,,TIAHUANACU,,,BO,+591 71532638,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71742203,moneygram,DIACONIA FRIF-IFD - TRINIDAD - BENI,,TRINIDAD,,,BO,+591 67010468,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741819,moneygram,DIACONIA FRIF-IFD - VIACHA - VIACHA,,VIACHA,,,BO,2801207,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
71741822,moneygram,DIACONIA FRIF-IFD - YUCUMO - YUCUMO,,YUCUMO,,,BO,+591 71532635,,Mo-Fr 07:00-18:00; Sa 06:30-18:00; Su 00:00-24:00,MoneyGram,Q1944412
