Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72410783,moneygram,UNITED BANK S.C - ADDIS ABABA - ABAY MAD,,ADDIS ABABA,,,ET,+251 11 321 7020,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685819,moneygram,UNITED BANK S.C - ADDIS ABABA - WONDIRAD,,ADDIS ABABA,,,ET,116680345,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685738,moneygram,UNITED BANK S.C - AMBA GIORGIS - AMBA GI,,AMBA GIORGIS,,,ET,581180754,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685660,moneygram,UNITED BANK S.C - ANGER GUTE - ANGER GUT,,ANGER GUTE,,,ET,576340816,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685657,moneygram,UNITED BANK S.C - DIMA - DIMA,,DIMA,,,ET,258155675,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685877,moneygram,UNITED BANK S.C - DOYOGENA - DOYOGENA,,DOYOGENA,,,ET,462440488,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685628,moneygram,UNITED BANK S.C - DURBETE - DURBETE,,DURBETE,,,ET,+251 11 465 5228,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685880,moneygram,UNITED BANK S.C - HADERO - HADERO,,HADERO,,,ET,464320881,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72685673,moneygram,UNITED BANK S.C - SENDAFA - SENDAFA,,SENDAFA,,,ET,116387059,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837421,moneygram,UNITED BANK S.C - ADDIS ABABA - GOLLA SE,,ADDIS ABABA,,,ET,+251 11 126 2786,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837463,moneygram,UNITED BANK S.C - ADDIS ABABA - SARBET B,,ADDIS ABABA,,,ET,113832064,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837382,moneygram,UNITED BANK S.C - ADDIS ABABA - SARIS AB,,ADDIS ABABA,,,ET,114708237,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837447,moneygram,UNITED BANK S.C - ADDIS ABABA - SARIS BR,,ADDIS ABABA,,,ET,114708469,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837418,moneygram,UNITED BANK S.C - CHIRO - CHIRO,,CHIRO,,,ET,256590581,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72837450,moneygram,UNITED BANK S.C - SHINSHICHO - SHINSHICH,,SHINSHICHO,,,ET,463390863,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73366519,moneygram,UNITED BANK S.C - ADDIS ABABA - MEKANISA,,ADDIS ABABA,,,ET,113692267,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73366551,moneygram,UNITED BANK S.C - ADDIS ABABA - SHEIKH K,,ADDIS ABABA,,,ET,111832064,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73366522,moneygram,UNITED BANK S.C - FURI - BEDIR,,FURI,,,ET,113805084,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780179,moneygram,UNITED BANK S.C - ADDIS ABABA - AYAT 5,,ADDIS ABABA,,,ET,+251 11 639 0832,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780357,moneygram,UNITED BANK S.C - ADDIS ABABA - BALCHA A,,ADDIS ABABA,,,ET,+251 91 104 8347,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780360,moneygram,UNITED BANK S.C - ADDIS ABABA - BETHEL M,,ADDIS ABABA,,,ET,+251 91 187 8100,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780250,moneygram,UNITED BANK S.C - ADDIS ABABA - FERENSAY,,ADDIS ABABA,,,ET,11549439,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780289,moneygram,UNITED BANK S.C - ADDIS ABABA - GERJI MA,,ADDIS ABABA,,,ET,+251 11 639 5890,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780331,moneygram,UNITED BANK S.C - ADDIS ABABA - KEGNBET,,ADDIS ABABA,,,ET,+251 91 873 2616,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780302,moneygram,UNITED BANK S.C - ADDIS ABABA - MESERET,,ADDIS ABABA,,,ET,+251 91 101 6457,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780315,moneygram,UNITED BANK S.C - ADDIS ABABA - RAHAMA I,,ADDIS ABABA,,,ET,113699529,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780276,moneygram,UNITED BANK S.C - ADDIS ABABA - RICHE BR,,ADDIS ABABA,,,ET,+251 11 416 7761,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780205,moneygram,UNITED BANK S.C - DIRE DAWA - SABIAN BRA,,DIRE DAWA,,,ET,+251 92 161 2384,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780328,moneygram,UNITED BANK S.C - GONDER - AWELIA BRANCH,,GONDER,,,ET,122730786,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73780399,moneygram,UNITED BANK S.C - HOSSAENA - GOMBORA BRA,,HOSSAENA,,,ET,461789281,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73807793,moneygram,UNITED BANK S.C - ADDIS ABEBA - AYAT TAF,,ADDIS ABEBA,,,ET,+251 11 639 1858,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73900218,moneygram,UNITED BANK S.C - ADDIS ABABA - GURD SHO,,ADDIS ABABA,,,ET,116661746,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73900234,moneygram,UNITED BANK S.C - ADDIS ABABA - HIBIR TO,,ADDIS ABABA,,,ET,+251 11 465 5222,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
73900250,moneygram,UNITED BANK S.C - ADDIS ABABA - LARE BRA,,ADDIS ABABA,,,ET,113578547,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74008957,moneygram,UNITED BANK S.C - ADDIS ABABA - ANSAR IF,,ADDIS ABABA,,,ET,058450717,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74008960,moneygram,UNITED BANK S.C - ADDIS ABABA - AYERAMBA,,ADDIS ABABA,,,ET,+251 91 303 8870,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74008999,moneygram,UNITED BANK S.C - ADDIS ABABA - KIDUS YA,,ADDIS ABABA,,,ET,112733277,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009011,moneygram,UNITED BANK S.C - ADDIS ABABA - TULU DIM,,ADDIS ABABA,,,ET,224510575,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009066,moneygram,UNITED BANK S.C - ASSELA - CHILALO BRANC,,ASSELA,,,ET,+251 11 465 5222,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74008986,moneygram,UNITED BANK S.C - BAHR DAR - DONA BER BR,,BAHR DAR,,,ET,+251 11 465 5222,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009095,moneygram,UNITED BANK S.C - CH'EFE - CHEFE DONSA B,,CH'EFE,,,ET,224510575,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009040,moneygram,UNITED BANK S.C - DEBRE BIRHAN - TEBASE,,DEBRE BIRHAN,,,ET,+251 91 303 8870,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009053,moneygram,UNITED BANK S.C - GONDER - GUZARA BRANCH,,GONDER,,,ET,+251 91 288 7497,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74009118,moneygram,UNITED BANK S.C - HOSSAENA - ARADA HOSSA,,HOSSAENA,,,ET,461788054,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74008973,moneygram,UNITED BANK S.C - TARCHA - TARCHA BRANCH,,TARCHA,,,ET,+251 91 288 7497,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74356049,moneygram,UNITED BANK S.C - ADAMA - DEGAGA BRANCH,,ADAMA,,,ET,+251 92 273 5584,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74356065,moneygram,UNITED BANK S.C - ADDIS ABABA - GOFA MEB,,ADDIS ABABA,,,ET,+251 91 035 5490,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74356036,moneygram,UNITED BANK S.C - ADDIS ABABA - ITEGE ME,,ADDIS ABABA,,,ET,+251 91 361 6429,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74356023,moneygram,UNITED BANK S.C - ADDIS ABABA - KERANYO,,ADDIS ABABA,,,ET,+251 91 142 1395,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74356052,moneygram,UNITED BANK S.C - SHAKISO - SHAKISO BRAN,,SHAKISO,,,ET,+251 11 465 5222,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74381739,moneygram,UNITED BANK S.C - ADDIS ABABA - JATI KAL,,ADDIS ABABA,,,ET,+251 91 075 7509,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74381713,moneygram,UNITED BANK S.C - SHAHURA - SHAHURA BRAN,,SHAHURA,,,ET,+251 91 843 2005,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74381726,moneygram,UNITED BANK S.C - WOLIAITA SODO - TONA B,,WOLIAITA SODO,,,ET,+251 91 389 1757,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407781,moneygram,UNITED BANK S.C - ADDIS ABABA - BELLA BR,,ADDIS ABABA,,,ET,95417535,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407804,moneygram,UNITED BANK S.C - ADDIS ABABA - BETHEL S,,ADDIS ABABA,,,ET,91375008,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407794,moneygram,UNITED BANK S.C - ADDIS ABABA - BIHERE T,,ADDIS ABABA,,,ET,94400853,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407817,moneygram,UNITED BANK S.C - ADDIS ABABA - BOLE 24,,ADDIS ABABA,,,ET,91093759,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407820,moneygram,UNITED BANK S.C - ADDIS ABABA - ZENEBEWO,,ADDIS ABABA,,,ET,91149977,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74407833,moneygram,UNITED BANK S.C - ASENDABO - ASENDABO BR,,ASENDABO,,,ET,91297298,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429837,moneygram,UNITED BANK S.C - ADAMA - ADAMA NUR BRAN,,ADAMA,,,ET,+251 91 205 0692,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429853,moneygram,UNITED BANK S.C - ADDIS ABABA - MEHAL FI,,ADDIS ABABA,,,ET,+251 11 416 7761,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74419274,moneygram,UNITED BANK S.C - ADDIS ABABA - MEHAL GU,,ADDIS ABABA,,,ET,+251 11 416 7761,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74419261,moneygram,UNITED BANK S.C - ADDIS ABABA - SUMMIT P,,ADDIS ABABA,,,ET,+251 91 222 9850,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74419245,moneygram,UNITED BANK S.C - DESSIE - HOTIE BRANCH,,DESSIE,,,ET,+251 91 433 1266,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429866,moneygram,UNITED BANK S.C - KELALA - KELALA BRANCH,,KELALA,,,ET,+251 91 840 6988,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429824,moneygram,UNITED BANK S.C - KUMBABE - CHORA BRANCH,,KUMBABE,,,ET,+251 91 152 8045,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74429840,moneygram,UNITED BANK S.C - TULU AWLIA - TULU AWLI,,TULU AWLIA,,,ET,+251 91 170 3960,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74419258,moneygram,UNITED BANK S.C - WOREILU - WOREILU BRAN,,WOREILU,,,ET,+251 91 840 6988,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74464656,moneygram,UNITED BANK S.C - DAGOL - JAMMA BRANCH,,DAGOL,,,ET,+251 91 276 8400,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74464669,moneygram,UNITED BANK S.C - WOGIDI - WOGIDI BRANCH,,WOGIDI,,,ET,+251 92 125 7391,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74470828,moneygram,UNITED BANK S.C - DESSIE - MAIDA BRANCH,,DESSIE,,,ET,+251 91 276 8400,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74470831,moneygram,UNITED BANK S.C - MERAGNA - MIDA BRANCH,,MERAGNA,,,ET,+251 92 125 0615,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74470844,moneygram,UNITED BANK S.C - TAFO - TAFO ADEBABAY B,,TAFO,,,ET,+251 91 300 4231,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543108,moneygram,UNITED BANK S.C - ADDIS ABABA - JAFAR BR,,ADDIS ABABA,,,ET,114705177,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543072,moneygram,UNITED BANK S.C - ADDIS ABABA - KALITY C,,ADDIS ABABA,,,ET,+251 91 524 1766,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543098,moneygram,UNITED BANK S.C - JIGJIGA - JIGJIGA HARA,,JIGJIGA,,,ET,222123421,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74543085,moneygram,UNITED BANK S.C - JIREN - JIREN BRANCH,,JIREN,,,ET,472117366,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74626753,moneygram,UNITED BANK S.C - ADDIS ABABA - LEBU MED,,ADDIS ABABA,,,ET,+251 94 261 4280,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74626766,moneygram,UNITED BANK S.C - DANSHA - DANSHA BRANCH,,DANSHA,,,ET,+251 91 870 3849,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74643985,moneygram,UNITED BANK S.C - ADDIS ABABA - KERA PEP,,ADDIS ABABA,,,ET,+251 91 133 5598,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74644007,moneygram,UNITED BANK S.C - ALETA WONDO - ALETA WO,,ALETA WONDO,,,ET,114705177,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74643998,moneygram,UNITED BANK S.C - DURAME - DURAME BRANCH,,DURAME,,,ET,+251 91 628 8565,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74643972,moneygram,UNITED BANK S.C - GOBA - BALE GOBA BRANC,,GOBA,,,ET,222460445,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74686900,moneygram,UNITED BANK S.C - ADDIS ABABA - TERO TRA,,ADDIS ABABA,,,ET,+251 92 489 8193,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74686890,moneygram,UNITED BANK S.C - DESSIE - GERADO BRANCH,,DESSIE,,,ET,+251 91 465 3349,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760871,moneygram,UNITED BANK S.C - HARA - HARA BRANCH,,HARA,,,ET,+251 92 087 0352,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760907,moneygram,UNITED BANK S.C - KOMBOLCHA - KEREM IFB,,KOMBOLCHA,,,ET,+251 91 300 4231,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760855,moneygram,UNITED BANK S.C - WURGESA - WURGESA BRAN,,WURGESA,,,ET,+251 91 426 7962,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760842,moneygram,UNITED BANK S.C - WOLDIA - GONDAR BER BR,,WOLDIA,,,ET,+251 91 098 9283,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760910,moneygram,UNITED BANK S.C - GASHENA - GASHENA BRAN,,GASHENA,,,ET,+251 91 465 5227,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760884,moneygram,UNITED BANK S.C - LIMMU - LIMMU BRANCH,,LIMMU,,,ET,+251 11 465 5222,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760868,moneygram,UNITED BANK S.C - ADDIS ABABA - SUMMIT H,,ADDIS ABABA,,,ET,+251 91 628 8565,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
74760897,moneygram,UNITED BANK S.C - ADDIS ABABA - GORO BES,,ADDIS ABABA,,,ET,+251 92 489 8193,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
