Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68262916,moneygram,DENIZBANK - #9100 - ANKARA - KOROGLU ANK,,ANKARA,,,TR,4477455,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265890,moneygram,DENIZBANK - #5560 - ANKARA - MALTEPE,,ANKARA,,,TR,2322542,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265955,moneygram,DENIZBANK - #5670 - ANKARA - GOKSU AVM,,ANKARA,,,TR,2813596,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262440,moneygram,DENIZBANK - #5930 - ANKARA - SENTEPE,,ANKARA,,,TR,3305363,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265793,moneygram,DENIZBANK - #5190 - ANKARA - CAYYOLU,,ANKARA,,,TR,2409801,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260293,moneygram,DENIZBANK - #2110 - ANKARA - YILDIZ ANKA,,ANKARA,,,TR,4422411,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264341,moneygram,DENIZBANK - #1065 - ANKARA - ELVANKENT,,ANKARA,,,TR,2601213,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265379,moneygram,DENIZBANK - #4380 - ANKARA - ETLIK,,ANKARA,,,TR,3235606,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262547,moneygram,DENIZBANK - #6030 - ANKARA - KAZAN,,ANKARA,,,TR,8143336,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263986,moneygram,DENIZBANK - #5150 - ANKARA - IVEDIK ORGA,,ANKARA,,,TR,3944047,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68264998,moneygram,DENIZBANK - #3100 - ANKARA - OSTIM,,ANKARA,,,TR,3549960,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68266077,moneygram,DENIZBANK - #1015 - ANKARA - DIKMEN,,ANKARA,,,TR,4811347,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261108,moneygram,DENIZBANK - #3800 - ANKARA - YENISEHIR,,ANKARA,,,TR,4255515,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263818,moneygram,DENIZBANK - #1480 - ANKARA - BEYPAZARI,,ANKARA,,,TR,7623216,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263229,moneygram,DENIZBANK - #3200 - ANKARA - SITELER,,ANKARA,,,TR,3501999,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68261124,moneygram,DENIZBANK - #3900 - ANKARA - BALGAT,,ANKARA,,,TR,4732626,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262259,moneygram,DENIZBANK - #5490 - ANKARA - MAMAK NATO,,ANKARA,,,TR,5640550,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68263096,moneygram,DENIZBANK - #9790 - ANKARA - BAHCELIEVLE,,ANKARA,,,TR,2125078,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68265858,moneygram,DENIZBANK - #5430 - ANKARA - PURSAKLAR,,ANKARA,,,TR,3280880,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68262246,moneygram,DENIZBANK - #5410 - ANKARA - YENIMAHALLE,,ANKARA,,,TR,3434555,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260950,moneygram,DENIZBANK - #3430 - ANKARA - BASKENT UNI,,ANKARA,,,TR,2341495,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
68260594,moneygram,DENIZBANK - #2710 - ANKARA - MITHATPASA,,ANKARA,,,TR,4355115,,Mo-Fr 08:00-17:00; Sa-Su 00:00-24:00,MoneyGram,Q1944412
